FEN,stockfish_score
r7/3nkp2/2p4p/B3p3/P1B1Pp2/5P2/1P3KPP/8 w - - 1 31,-1.34
r7/3nkp2/2p4p/4p3/PBB1Pp2/5P2/1P3KPP/8 b - - 2 31,-1.13
r7/3nkp2/7p/2p1p3/PBB1Pp2/5P2/1P3KPP/8 w - - 0 32,-2.42
r7/3nkp2/7p/2p1p3/P1B1Pp2/2B2P2/1P3KPP/8 b - - 1 32,-2.3
8/3nkp2/7p/2p1p3/r1B1Pp2/2B2P2/1P3KPP/8 w - - 0 33,-1.87
8/3nkp2/7p/1Bp1p3/r3Pp2/2B2P2/1P3KPP/8 b - - 1 33,-1.21
8/r2nkp2/7p/1Bp1p3/4Pp2/2B2P2/1P3KPP/8 w - - 2 34,-1.37
8/r2Bkp2/7p/2p1p3/4Pp2/2B2P2/1P3KPP/8 b - - 0 34,-1.2
8/3rkp2/7p/2p1p3/4Pp2/2B2P2/1P3KPP/8 w - - 0 35,-1.35
8/3rkp2/7p/2p1B3/4Pp2/5P2/1P3KPP/8 b - - 0 35,-2.5
8/4kp2/7p/2p1B3/4Pp2/5P2/1P1r1KPP/8 w - - 1 36,-1.01
8/4kp2/7p/2p1B3/4Pp2/5P2/1P1r2PP/5K2 b - - 2 36,-0.9
8/4kp2/8/2p1B2p/4Pp2/5P2/1P1r2PP/5K2 w - - 0 37,-1.02
8/4kp2/8/2p1B2p/4Pp1P/5P2/1P1r2P1/5K2 b - - 0 37,-1.22
8/4k3/8/2p1Bp1p/4Pp1P/5P2/1P1r2P1/5K2 w - - 0 38,-0.25
8/4k3/8/2p1BP1p/5p1P/5P2/1P1r2P1/5K2 b - - 0 38,-0.08
8/5k2/8/2p1BP1p/5p1P/5P2/1P1r2P1/5K2 w - - 1 39,-0.08
8/5k2/8/2p2P1p/5p1P/2B2P2/1P1r2P1/5K2 b - - 2 39,-0.81
8/5k2/8/5P1p/2p2p1P/2B2P2/1P1r2P1/5K2 w - - 0 40,6.74
8/5k2/8/5P1p/2p2p1P/5P2/1P1B2P1/5K2 b - - 0 40,7.24
8/8/5k2/5P1p/2p2p1P/5P2/1P1B2P1/5K2 w - - 1 41,6.95
8/8/5k2/5P1p/2p2B1P/5P2/1P4P1/5K2 b - - 0 41,6.1
8/8/8/5k1p/2p2B1P/5P2/1P4P1/5K2 w - - 0 42,7.01
8/8/8/5k1p/2p4P/5P2/1P1B2P1/5K2 b - - 1 42,7.0
8/8/8/4k2p/2p4P/5P2/1P1B2P1/5K2 w - - 2 43,7.82
8/8/8/4k2p/2p4P/2B2P2/1P4P1/5K2 b - - 3 43,7.74
8/8/8/7p/2p2k1P/2B2P2/1P4P1/5K2 w - - 4 44,7.75
8/8/8/7p/2p2k1P/2B2P2/1P3KP1/8 b - - 5 44,7.83
8/8/8/5k1p/2p4P/2B2P2/1P3KP1/8 w - - 6 45,7.64
8/8/8/5k1p/2p3PP/2B2P2/1P3K2/8 b - - 0 45,5.89
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0.18
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,-0.05
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,0.0
r1bqkbnr/ppp1pppp/2n5/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,-0.05
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,0.17
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,0.04
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 2 4,0.13
r2qkbnr/ppp1pppp/8/3p1b2/1n1P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 3 5,0.13
r2qkbnr/ppp1pppp/8/3p1b2/1n1P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 4 5,-0.26
r2qkbnr/ppp1pppp/8/3p1b2/3P4/5NP1/PPn1PPBP/RNBQ1RK1 w kq - 0 6,-0.39
r2qkbnr/ppp1pppp/8/3p1b2/3P3N/6P1/PPn1PPBP/RNBQ1RK1 b kq - 1 6,1.08
r2qkbnr/ppp1pppp/8/3p1b2/3P3N/6P1/PP2PPBP/nNBQ1RK1 w kq - 0 7,1.34
r2qkbnr/ppp1pppp/8/3p1N2/3P4/6P1/PP2PPBP/nNBQ1RK1 b kq - 0 7,1.08
r2qkbnr/ppp2ppp/4p3/3p1N2/3P4/6P1/PP2PPBP/nNBQ1RK1 w kq - 0 8,1.16
r2qkbnr/ppp2ppp/4p3/3p4/3P4/4N1P1/PP2PPBP/nNBQ1RK1 b kq - 1 8,1.73
r2qkb1r/ppp2ppp/4pn2/3p4/3P4/4N1P1/PP2PPBP/nNBQ1RK1 w kq - 2 9,0.94
r2qkb1r/ppp2ppp/4pn2/3p4/3P4/1P2N1P1/P3PPBP/nNBQ1RK1 b kq - 0 9,1.17
r2qkb1r/pp3ppp/4pn2/2pp4/3P4/1P2N1P1/P3PPBP/nNBQ1RK1 w kq - 0 10,1.04
r2qkb1r/pp3ppp/4pn2/2pp4/3P4/1P2N1P1/PB2PPBP/nN1Q1RK1 b kq - 1 10,1.04
r2qkb1r/pp3ppp/4pn2/3p4/3p4/1P2N1P1/PB2PPBP/nN1Q1RK1 w kq - 0 11,1.04
r2qkb1r/pp3ppp/4pn2/3p4/3B4/1P2N1P1/P3PPBP/nN1Q1RK1 b kq - 0 11,1.6
r2qk2r/pp2bppp/4pn2/3p4/3B4/1P2N1P1/P3PPBP/nN1Q1RK1 w kq - 1 12,1.85
r2qk2r/pp2bppp/4pn2/3p4/8/1P2N1P1/P3PPBP/BN1Q1RK1 b kq - 0 12,1.88
r2q1rk1/pp2bppp/4pn2/3p4/8/1P2N1P1/P3PPBP/BN1Q1RK1 w - - 1 13,1.5
r2q1rk1/pp2bppp/4pn2/3p4/8/1P2N1P1/P2NPPBP/B2Q1RK1 b - - 2 13,1.36
2rq1rk1/pp2bppp/4pn2/3p4/8/1P2N1P1/P2NPPBP/B2Q1RK1 w - - 3 14,1.08
2rq1rk1/pp2bppp/4pn2/3p4/8/1P2NNP1/P3PPBP/B2Q1RK1 b - - 4 14,1.23
2r2rk1/pp2bppp/4pn2/q2p4/8/1P2NNP1/P3PPBP/B2Q1RK1 w - - 5 15,1.21
2r2rk1/pp2bppp/4pn2/q2pN3/8/1P2N1P1/P3PPBP/B2Q1RK1 b - - 6 15,0.3
2r2rk1/pp2bppp/4pn2/3pN3/8/1P2N1P1/q3PPBP/B2Q1RK1 w - - 0 16,0.22
2r2rk1/pp2bppp/4pn2/3pN3/8/1P1QN1P1/q3PPBP/B4RK1 b - - 1 16,0.34
5rk1/ppr1bppp/4pn2/3pN3/8/1P1QN1P1/q3PPBP/B4RK1 w - - 2 17,0.55
5rk1/ppr1bppp/4pn2/3p4/8/1P1QNNP1/q3PPBP/B4RK1 b - - 3 17,0.08
2r3k1/ppr1bppp/4pn2/3p4/8/1P1QNNP1/q3PPBP/B4RK1 w - - 4 18,0.21
2r3k1/ppr1bppp/4pn2/3pB3/8/1P1QNNP1/q3PPBP/5RK1 b - - 5 18,0.13
2r3k1/pp2bppp/4pn2/3pB3/8/1P1QNNP1/q3PPBP/2r2RK1 w - - 6 19,-0.75
2r3k1/pp2bppp/4pn2/3pB3/7P/1P1QNNP1/q3PPB1/2r2RK1 b - - 0 19,-0.82
