FEN,stockfish_score
r2r2k1/1pqn1p2/2p1n2p/p3p1p1/PbQ1P3/2N2NBP/1PPR1PP1/3R2K1 w - - 5 20,0.17
r2r2k1/1pqn1p2/2p1n2p/p3p1p1/PbQ1P3/2NR1NBP/1PP2PP1/3R2K1 b - - 6 20,0.3
r2r2k1/1pq2p2/1np1n2p/p3p1p1/PbQ1P3/2NR1NBP/1PP2PP1/3R2K1 w - - 7 21,-0.21
r2R2k1/1pq2p2/1np1n2p/p3p1p1/PbQ1P3/2N2NBP/1PP2PP1/3R2K1 b - - 0 21,0.13
3r2k1/1pq2p2/1np1n2p/p3p1p1/PbQ1P3/2N2NBP/1PP2PP1/3R2K1 w - - 0 22,-0.39
3R2k1/1pq2p2/1np1n2p/p3p1p1/PbQ1P3/2N2NBP/1PP2PP1/6K1 b - - 0 22,0.0
3q2k1/1p3p2/1np1n2p/p3p1p1/PbQ1P3/2N2NBP/1PP2PP1/6K1 w - - 0 23,-0.64
3q2k1/1p3p2/1np1n2p/p3p1p1/Pb2P3/1QN2NBP/1PP2PP1/6K1 b - - 1 23,-0.56
3q2k1/1p3p2/1np4p/p1n1p1p1/Pb2P3/1QN2NBP/1PP2PP1/6K1 w - - 2 24,-1.67
3q2k1/1p3p2/1np4p/p1n1p1p1/Pb2P3/2N2NBP/QPP2PP1/6K1 b - - 3 24,-1.11
3q2k1/1p3p2/1np4p/p1n1p1p1/P3P3/2b2NBP/QPP2PP1/6K1 w - - 0 25,-1.67
3q2k1/1p3p2/1np4p/p1n1p1p1/P3P3/2P2NBP/Q1P2PP1/6K1 b - - 0 25,-5.16
6k1/1p3p2/1np4p/p1n1p1p1/P3P3/2P2NBP/Q1P2PP1/3q2K1 w - - 1 26,-1.74
6k1/1p3p2/1np4p/p1n1p1p1/P3P3/2P2NBP/Q1P2PPK/3q4 b - - 2 26,-1.15
6k1/1p3p2/1np4p/p3p1p1/P3n3/2P2NBP/Q1P2PPK/3q4 w - - 0 27,-1.58
6k1/1p3p2/1np4p/p3N1p1/P3n3/2P3BP/Q1P2PPK/3q4 b - - 0 27,-1.32
6k1/1p3p2/1np4p/p2qN1p1/P3n3/2P3BP/Q1P2PPK/8 w - - 1 28,-0.73
6k1/1p3p2/1np4p/p2qN1p1/P1P1n3/6BP/Q1P2PPK/8 b - - 0 28,-0.85
3q2k1/1p3p2/1np4p/p3N1p1/P1P1n3/6BP/Q1P2PPK/8 w - - 1 29,-0.22
3q2k1/1p3p2/1np4p/p3N1p1/P1P1n3/1Q4BP/2P2PPK/8 b - - 2 29,0.0
3q2k1/1p3p2/1np4p/p3N1p1/P1P5/1Q4BP/2Pn1PPK/8 w - - 3 30,-0.55
3q2k1/1p3p2/1np4p/p3N1p1/P1P5/2Q3BP/2Pn1PPK/8 b - - 4 30,-0.77
3q2k1/1p3p2/1np4p/p3N1p1/P1P5/2Q3BP/2P2PPK/5n2 w - - 5 31,-0.99
3q2k1/1p3p2/1np4p/p3N1p1/P1P5/2Q3BP/2P2PP1/5nK1 b - - 6 31,-0.73
6k1/1p3p2/1np4p/p3N1p1/P1P5/2Q3BP/2P2PP1/3q1nK1 w - - 7 32,-1.92
6k1/1p3p2/1np4p/p3N1p1/P1P5/3Q2BP/2P2PP1/3q1nK1 b - - 8 32,-5.83
6k1/1p3p2/1np4p/p3N1p1/P1P5/3q2BP/2P2PP1/5nK1 w - - 0 33,-1.9
6k1/1p3p2/1np4p/p3N1p1/P1P5/3P2BP/5PP1/5nK1 b - - 0 33,-1.62
6k1/1p3p2/1np4p/p3N1p1/P1P5/3P2nP/5PP1/6K1 w - - 0 34,-2.27
6k1/1p3p2/1np4p/p3N1p1/P1P5/3P2PP/6P1/6K1 b - - 0 34,-1.97
6k1/1p3p2/2p4p/p3N1p1/n1P5/3P2PP/6P1/6K1 w - - 0 35,-2.65
6k1/1p3p2/2p4p/p5p1/n1P3N1/3P2PP/6P1/6K1 b - - 1 35,-2.76
6k1/1p3p2/2p4p/p5p1/2P3N1/3P2PP/1n4P1/6K1 w - - 2 36,-2.2
6k1/1p3p2/2p4p/p5p1/2P3N1/3P2PP/1n3KP1/8 b - - 3 36,-3.7
6k1/1p3p2/2p4p/6p1/p1P3N1/3P2PP/1n3KP1/8 w - - 0 37,-2.2
6k1/1p3p2/2p4p/6p1/p1P5/3PN1PP/1n3KP1/8 b - - 1 37,-4.44
6k1/1p3p2/2p4p/6p1/2P5/p2PN1PP/1n3KP1/8 w - - 0 38,-3.02
6k1/1p3p2/2p4p/6p1/2P5/p2P2PP/1nN2KP1/8 b - - 1 38,-4.31
8/1p3pk1/2p4p/6p1/2P5/p2P2PP/1nN2KP1/8 w - - 2 39,-2.3
8/1p3pk1/2p4p/6p1/2P5/N2P2PP/1n3KP1/8 b - - 0 39,-2.65
8/1p3pk1/2p4p/6p1/2P5/N2n2PP/5KP1/8 w - - 0 40,-2.12
8/1p3pk1/2p4p/6p1/2P5/N2nK1PP/6P1/8 b - - 1 40,-1.86
8/1p3pk1/2p4p/6p1/1nP5/N3K1PP/6P1/8 w - - 2 41,-1.41
8/1p3pk1/2p4p/6p1/1nP5/4K1PP/2N3P1/8 b - - 3 41,-4.43
8/1p3pk1/2p4p/6p1/2P5/4K1PP/2n3P1/8 w - - 0 42,-4.6
8/1p3pk1/2p4p/6p1/2P1K3/6PP/2n3P1/8 b - - 1 42,-5.59
8/1p3pk1/2p4p/6p1/2P1K3/n5PP/6P1/8 w - - 2 43,-5.24
8/1p3pk1/2p4p/5Kp1/2P5/n5PP/6P1/8 b - - 3 43,-6.38
8/1p3pk1/2p4p/5Kp1/2n5/6PP/6P1/8 w - - 0 44,-6.23
8/1p3pk1/2p4p/6p1/2n1K3/6PP/6P1/8 b - - 1 44,-6.57
8/5pk1/2p4p/1p4p1/2n1K3/6PP/6P1/8 w - - 0 45,-6.64
8/5pk1/2p4p/1p4p1/2nK4/6PP/6P1/8 b - - 1 45,-6.4
8/5p2/2p2k1p/1p4p1/2nK4/6PP/6P1/8 w - - 2 46,-5.65
8/5p2/2p2k1p/1pK3p1/2n5/6PP/6P1/8 b - - 3 46,-5.56
8/5p2/2p4p/1pK2kp1/2n5/6PP/6P1/8 w - - 4 47,-5.03
8/5p2/2K4p/1p3kp1/2n5/6PP/6P1/8 b - - 0 47,-5.66
8/5p2/2K4p/1p4p1/2n1k3/6PP/6P1/8 w - - 1 48,-5.95
8/5p2/7p/1K4p1/2n1k3/6PP/6P1/8 b - - 0 48,-5.94
8/5p2/7p/1K4p1/4k3/4n1PP/6P1/8 w - - 1 49,-7.05
8/5p2/7p/2K3p1/4k3/4n1PP/6P1/8 b - - 2 49,-6.13
8/5p2/7p/2K3p1/4k3/6PP/6n1/8 w - - 0 50,-5.53
8/5p2/3K3p/6p1/4k3/6PP/6n1/8 b - - 1 50,-5.77
8/5p2/3K3p/6p1/4kn2/6PP/8/8 w - - 2 51,-5.24
8/4Kp2/7p/6p1/4kn2/6PP/8/8 b - - 3 51,-5.15
8/4Kp2/7p/6p1/4k3/6Pn/8/8 w - - 0 52,-5.15
8/5K2/7p/6p1/4k3/6Pn/8/8 b - - 0 52,-5.5
8/5K2/7p/8/4k1p1/6Pn/8/8 w - - 0 53,-4.03
8/8/6Kp/8/4k1p1/6Pn/8/8 b - - 1 53,-5.36
8/8/6Kp/8/6p1/5kPn/8/8 w - - 2 54,-3.71
8/8/7p/7K/6p1/5kPn/8/8 b - - 3 54,-5.38
8/8/7p/7K/6p1/6kn/8/8 w - - 0 55,-4.82
8/8/7K/8/6p1/6kn/8/8 b - - 0 55,-5.38
8/8/7K/8/6p1/5k1n/8/8 w - - 1 56,-4.46
8/8/6K1/8/6p1/5k1n/8/8 b - - 2 56,-5.61
8/8/6K1/8/8/5kpn/8/8 w - - 0 57,-5.05
8/6K1/8/8/8/5kpn/8/8 b - - 1 57,-5.63
8/6K1/8/8/8/5k1n/6p1/8 w - - 0 58,-5.64
8/5K2/8/8/8/5k1n/6p1/8 b - - 1 58,-5.52
8/5K2/8/8/8/5k1n/8/6q1 w - - 0 59,-6.63
5K2/8/8/8/8/5k1n/8/6q1 b - - 1 59,-5.55
5K2/8/8/8/8/5k1n/5q2/8 w - - 2 60,-6.45
8/5K2/8/8/8/5k1n/5q2/8 b - - 3 60,-5.54
8/5K2/8/8/8/5k1n/6q1/8 w - - 4 61,-6.47
5K2/8/8/8/8/5k1n/6q1/8 b - - 5 61,-5.68
5K2/8/8/8/8/5kqn/8/8 w - - 6 62,-6.37
4K3/8/8/8/8/5kqn/8/8 b - - 7 62,-5.24
4K3/8/8/8/5q2/5k1n/8/8 w - - 8 63,-5.84
8/4K3/8/8/5q2/5k1n/8/8 b - - 9 63,-5.3
8/4K3/8/8/5q2/4k2n/8/8 w - - 10 64,-5.58
3K4/8/8/8/5q2/4k2n/8/8 b - - 11 64,-4.78
3K4/8/8/8/4kq2/7n/8/8 w - - 12 65,-5.68
2K5/8/8/8/4kq2/7n/8/8 b - - 13 65,-4.96
2K5/8/8/4q3/4k3/7n/8/8 w - - 14 66,-5.58
8/1K6/8/4q3/4k3/7n/8/8 b - - 15 66,-5.11
8/1K6/8/4q3/3k4/7n/8/8 w - - 16 67,-5.49
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0.18
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,0.04
rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,0.09
rnbqkb1r/pppp1ppp/4pn2/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,0.0
rnbqkb1r/pppp1ppp/4pn2/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,0.22
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,0.0
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4,0.3
rnbqkb1r/pp3ppp/4pn2/2pp4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5,0.0
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 5,0.26
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq - 1 6,0.0
r1bqkb1r/pp3ppp/2n1pn2/2pp4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 0 6,0.47
r1bqkb1r/pp3ppp/2n1pn2/3p4/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 0 7,0.09
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PN4/6P1/PP2PPBP/RNBQ1RK1 b kq - 0 7,0.48
r1bqk2r/pp3ppp/2n1pn2/2bp4/2PN4/6P1/PP2PPBP/RNBQ1RK1 w kq - 1 8,0.35
r1bqk2r/pp3ppp/2n1pn2/2bp4/2P5/1N4P1/PP2PPBP/RNBQ1RK1 b kq - 2 8,0.39
r1bqk2r/pp3ppp/1bn1pn2/3p4/2P5/1N4P1/PP2PPBP/RNBQ1RK1 w kq - 3 9,0.08
r1bqk2r/pp3ppp/1bn1pn2/3P4/8/1N4P1/PP2PPBP/RNBQ1RK1 b kq - 0 9,0.22
r1bqk2r/pp3ppp/1bn2n2/3p4/8/1N4P1/PP2PPBP/RNBQ1RK1 w kq - 0 10,-0.08
r1bqk2r/pp3ppp/1bn2n2/3p2B1/8/1N4P1/PP2PPBP/RN1Q1RK1 b kq - 1 10,0.38
r2qk2r/pp3ppp/1bn1bn2/3p2B1/8/1N4P1/PP2PPBP/RN1Q1RK1 w kq - 2 11,0.08
r2qk2r/pp3ppp/1bn1bn2/3p2B1/8/1NN3P1/PP2PPBP/R2Q1RK1 b kq - 3 11,0.47
r2q1rk1/pp3ppp/1bn1bn2/3p2B1/8/1NN3P1/PP2PPBP/R2Q1RK1 w - - 4 12,0.13
r2q1rk1/pp3ppp/1bn1bn2/3p2B1/N7/1N4P1/PP2PPBP/R2Q1RK1 b - - 5 12,0.61
r2q1rk1/pp3pp1/1bn1bn1p/3p2B1/N7/1N4P1/PP2PPBP/R2Q1RK1 w - - 0 13,0.0
r2q1rk1/pp3pp1/1Nn1bn1p/3p2B1/8/1N4P1/PP2PPBP/R2Q1RK1 b - - 0 13,0.39
r2q1rk1/1p3pp1/1pn1bn1p/3p2B1/8/1N4P1/PP2PPBP/R2Q1RK1 w - - 0 14,0.0
r2q1rk1/1p3pp1/1pn1bn1p/3p4/8/1N2B1P1/PP2PPBP/R2Q1RK1 b - - 1 14,0.38
r2q1rk1/1p3pp1/1pn1bn1p/8/3p4/1N2B1P1/PP2PPBP/R2Q1RK1 w - - 0 15,1.21
r2q1rk1/1p3pp1/1pn1bn1p/8/3N4/4B1P1/PP2PPBP/R2Q1RK1 b - - 0 15,1.55
r2q1rk1/1p3pp1/1pn2n1p/3b4/3N4/4B1P1/PP2PPBP/R2Q1RK1 w - - 1 16,0.82
r2q1rk1/1p3pp1/1pn2n1p/3b4/3N4/P3B1P1/1P2PPBP/R2Q1RK1 b - - 0 16,0.73
r2q1rk1/1p3pp1/1pn2n1p/8/3N4/P3B1P1/1P2PPbP/R2Q1RK1 w - - 0 17,0.34
r2q1rk1/1p3pp1/1pn2n1p/8/3N4/P3B1P1/1P2PPKP/R2Q1R2 b - - 0 17,0.91
r4rk1/1p3pp1/1pn2n1p/3q4/3N4/P3B1P1/1P2PPKP/R2Q1R2 w - - 1 18,1.15
r4rk1/1p3pp1/1pn2n1p/3q4/3N4/P3B1P1/1P2PP1P/R2Q1RK1 b - - 2 18,1.07
r2r2k1/1p3pp1/1pn2n1p/3q4/3N4/P3B1P1/1P2PP1P/R2Q1RK1 w - - 3 19,0.51
r2r2k1/1p3pp1/1pN2n1p/3q4/8/P3B1P1/1P2PP1P/R2Q1RK1 b - - 0 19,1.17
r2r2k1/1p3pp1/1pq2n1p/8/8/P3B1P1/1P2PP1P/R2Q1RK1 w - - 0 20,1.28
r2r2k1/1p3pp1/1pq2n1p/8/8/PQ2B1P1/1P2PP1P/R4RK1 b - - 1 20,1.45
r2r2k1/1p3pp1/2q2n1p/1p6/8/PQ2B1P1/1P2PP1P/R4RK1 w - - 0 21,1.68
r2r2k1/1p3pp1/2q2n1p/1p6/8/PQ2B1P1/1P2PP1P/3R1RK1 b - - 1 21,1.88
r2r2k1/1p3pp1/2q4p/1p1n4/8/PQ2B1P1/1P2PP1P/3R1RK1 w - - 2 22,1.61
r2r2k1/1p3pp1/2q4p/1p1n4/8/PQ2B1P1/1P2PP1P/2R2RK1 b - - 3 22,1.19
r2r2k1/1p3pp1/4q2p/1p1n4/8/PQ2B1P1/1P2PP1P/2R2RK1 w - - 4 23,0.99
r2r2k1/1p3pp1/4q2p/1p1n4/8/PQ2B1P1/1P2PP1P/2RR2K1 b - - 5 23,1.55
r2r2k1/1p3pp1/4q2p/1p6/8/PQ2n1P1/1P2PP1P/2RR2K1 w - - 0 24,0.99
r2r2k1/1p3pp1/4q2p/1p6/8/P3Q1P1/1P2PP1P/2RR2K1 b - - 0 24,1.54
r2r2k1/1p3pp1/7p/1p6/8/P3q1P1/1P2PP1P/2RR2K1 w - - 0 25,0.98
r2r2k1/1p3pp1/7p/1p6/8/P3P1P1/1P2P2P/2RR2K1 b - - 0 25,1.23
r5k1/1p3pp1/7p/1p6/8/P3P1P1/1P2P2P/2Rr2K1 w - - 0 26,1.3
r5k1/1p3pp1/7p/1p6/8/P3P1P1/1P2P2P/3R2K1 b - - 0 26,1.62
2r3k1/1p3pp1/7p/1p6/8/P3P1P1/1P2P2P/3R2K1 w - - 1 27,1.35
2r3k1/1p3pp1/7p/1p1R4/8/P3P1P1/1P2P2P/6K1 b - - 2 27,-4.29
2r3k1/1p3pp1/7p/3R4/1p6/P3P1P1/1P2P2P/6K1 w - - 0 28,0.7
2r3k1/1p3pp1/7p/3R4/1P6/4P1P1/1P2P2P/6K1 b - - 0 28,-5.01
6k1/1p3pp1/7p/3R4/1P6/4P1P1/1Pr1P2P/6K1 w - - 1 29,0.57
6k1/1p3pp1/7p/3R4/1P6/4P1P1/1Pr1PK1P/8 b - - 2 29,0.45
6k1/1p3pp1/7p/3R4/1P6/4P1P1/1r2PK1P/8 w - - 0 30,0.21
6k1/1p3pp1/7p/1R6/1P6/4P1P1/1r2PK1P/8 b - - 1 30,1.6
6k1/1p3p2/6pp/1R6/1P6/4P1P1/1r2PK1P/8 w - - 0 31,1.6
6k1/1R3p2/6pp/8/1P6/4P1P1/1r2PK1P/8 b - - 0 31,1.88
8/1R3pk1/6pp/8/1P6/4P1P1/1r2PK1P/8 w - - 1 32,1.72
8/1R3pk1/6pp/8/1P6/4PKP1/1r2P2P/8 b - - 2 32,2.03
8/1R3pk1/6p1/7p/1P6/4PKP1/1r2P2P/8 w - - 0 33,1.84
8/5pk1/1R4p1/7p/1P6/4PKP1/1r2P2P/8 b - - 1 33,1.77
8/5pk1/1R6/6pp/1P6/4PKP1/1r2P2P/8 w - - 0 34,1.35
8/5pk1/1R6/6pp/1P2P3/5KP1/1r2P2P/8 b - - 0 34,1.3
8/6k1/1R3p2/6pp/1P2P3/5KP1/1r2P2P/8 w - - 0 35,1.95
8/1R4k1/5p2/6pp/1P2P3/5KP1/1r2P2P/8 b - - 1 35,1.95
8/1R6/5pk1/6pp/1P2P3/5KP1/1r2P2P/8 w - - 2 36,2.14
8/1R6/5pk1/6pp/1P2P2P/5KP1/1r2P3/8 b - - 0 36,1.32
8/1R6/5pk1/6pp/1P2P2P/1r3KP1/4P3/8 w - - 1 37,1.52
8/1R6/5pk1/6pp/1P2P2P/1r2PKP1/8/8 b - - 0 37,1.03
8/1R6/5pk1/7p/1P2P1pP/1r2PKP1/8/8 w - - 0 38,0.74
8/1R6/5pk1/7p/1P2PKpP/1r2P1P1/8/8 b - - 1 38,0.85
8/1R6/5pk1/7p/1P2PKpP/4P1P1/8/1r6 w - - 2 39,0.45
8/1R6/5pk1/4P2p/1P3KpP/4P1P1/8/1r6 b - - 0 39,1.3
8/1R6/5pk1/4P2p/1P3KpP/4P1P1/8/5r2 w - - 1 40,1.09
8/1R6/5pk1/4P2p/1P2K1pP/4P1P1/8/5r2 b - - 2 40,1.77
8/1R6/6k1/4p2p/1P2K1pP/4P1P1/8/5r2 w - - 0 41,4.5
8/1R6/6k1/1P2p2p/4K1pP/4P1P1/8/5r2 b - - 0 41,1.88
8/1R6/6k1/1P2p2p/4K1pP/4PrP1/8/8 w - - 1 42,5.27
8/1R6/1P4k1/4p2p/4K1pP/4PrP1/8/8 b - - 0 42,1.18
8/1R6/1P4k1/4p2p/4K1pP/4P1r1/8/8 w - - 0 43,1.38
8/3R4/1P4k1/4p2p/4K1pP/4P1r1/8/8 b - - 1 43,1.5
8/3R4/1P4k1/4p2p/4K1pP/4P3/8/6r1 w - - 2 44,1.31
8/1P1R4/6k1/4p2p/4K1pP/4P3/8/6r1 b - - 0 44,0.86
8/1P1R4/6k1/4p2p/4K1pP/4P3/8/1r6 w - - 1 45,0.65
8/1P1R4/6k1/4K2p/6pP/4P3/8/1r6 b - - 0 45,0.21
8/1P1R4/6k1/4K2p/7P/4P1p1/8/1r6 w - - 0 46,0.2
8/1P6/6k1/4K2p/7P/4P1p1/8/1r1R4 b - - 1 46,0.08
8/1r6/6k1/4K2p/7P/4P1p1/8/3R4 w - - 0 47,0.0
8/1r6/6k1/4K2p/7P/4P1p1/8/6R1 b - - 1 47,-0.08
8/4r3/6k1/4K2p/7P/4P1p1/8/6R1 w - - 2 48,-0.04
8/4r3/6k1/7p/3K3P/4P1p1/8/6R1 b - - 3 48,-0.2
8/3r4/6k1/7p/3K3P/4P1p1/8/6R1 w - - 4 49,0.0
8/3r4/6k1/7p/7P/2K1P1p1/8/6R1 b - - 5 49,-0.64
8/4r3/6k1/7p/7P/2K1P1p1/8/6R1 w - - 6 50,0.08
8/4r3/6k1/7p/7P/3KP1p1/8/6R1 b - - 7 50,-0.16
8/4r3/8/5k1p/7P/3KP1p1/8/6R1 w - - 8 51,0.04
8/4r3/8/5k1p/7P/3KP1R1/8/8 b - - 0 51,-0.04
8/3r4/8/5k1p/7P/3KP1R1/8/8 w - - 1 52,0.13
8/3r4/8/5k1p/7P/4P1R1/4K3/8 b - - 2 52,0.2
8/5r2/8/5k1p/7P/4P1R1/4K3/8 w - - 3 53,4.49
8/5r2/8/5kRp/7P/4P3/4K3/8 b - - 4 53,0.41
8/5r2/8/6Rp/4k2P/4P3/4K3/8 w - - 5 54,0.4
8/5r2/8/7R/4k2P/4P3/4K3/8 b - - 0 54,0.28
8/r7/8/7R/4k2P/4P3/4K3/8 w - - 1 55,0.81
8/r7/8/2R5/4k2P/4P3/4K3/8 b - - 2 55,-5.66
8/8/8/2R5/4k2P/4P3/r3K3/8 w - - 3 56,-0.24
8/8/8/2R5/4k2P/4P3/r7/3K4 b - - 4 56,0.16
8/8/8/2R5/7P/4k3/r7/3K4 w - - 0 57,0.08
8/8/8/8/7P/4k3/r1R5/3K4 b - - 1 57,-0.08
8/8/8/8/3k3P/8/r1R5/3K4 w - - 2 58,6.58
8/8/8/8/3k3P/8/R7/3K4 b - - 0 58,6.23
8/8/8/8/4k2P/8/R7/3K4 w - - 1 59,7.29
8/8/8/8/4k2P/8/7R/3K4 b - - 2 59,6.81
8/8/8/5k2/7P/8/7R/3K4 w - - 3 60,7.07
8/8/8/5k1P/8/8/7R/3K4 b - - 0 60,6.63
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.3
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.52
rnbqkbnr/ppp1pppp/3p4/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,0.43
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,0.13
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0.0
r1bqkb1r/pppnpppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,0.56
r1bqkb1r/pppnpppp/3p1n2/8/3PP3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 2 4,0.74
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PP3/3B1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,0.61
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQK2R b KQkq - 0 5,0.52
r1bqk2r/pppnbppp/3p1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 1 6,0.26
r1bqk2r/pppnbppp/3p1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQ1RK1 b kq - 2 6,0.6
r1bq1rk1/pppnbppp/3p1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQ1RK1 w - - 3 7,0.21
r1bq1rk1/pppnbppp/3p1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQR1K1 b - - 4 7,0.59
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/2PB1N2/PP3PPP/RNBQR1K1 w - - 0 8,0.3
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 b - - 1 8,0.56
r1bq1rk1/pp1nbpp1/2pp1n1p/4p3/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 w - - 0 9,0.35
r1bq1rk1/pp1nbpp1/2pp1n1p/4p3/2NPP3/2PB1N2/PP3PPP/R1BQR1K1 b - - 1 9,0.65
r1b2rk1/ppqnbpp1/2pp1n1p/4p3/2NPP3/2PB1N2/PP3PPP/R1BQR1K1 w - - 2 10,0.42
r1b2rk1/ppqnbpp1/2pp1n1p/4p3/2NPP3/1PPB1N2/P4PPP/R1BQR1K1 b - - 0 10,0.43
r1b1r1k1/ppqnbpp1/2pp1n1p/4p3/2NPP3/1PPB1N2/P4PPP/R1BQR1K1 w - - 1 11,0.13
r1b1r1k1/ppqnbpp1/2pp1n1p/4p3/2NPP3/1PPB1N2/PB3PPP/R2QR1K1 b - - 2 11,0.17
r1b1rbk1/ppqn1pp1/2pp1n1p/4p3/2NPP3/1PPB1N2/PB3PPP/R2QR1K1 w - - 3 12,0.0
r1b1rbk1/ppqn1pp1/2pp1n1p/4p3/2NPP3/1PPB1N2/PBQ2PPP/R3R1K1 b - - 4 12,0.17
r1b1rbk1/p1qn1pp1/2pp1n1p/1p2p3/2NPP3/1PPB1N2/PBQ2PPP/R3R1K1 w - - 0 13,0.0
r1b1rbk1/p1qn1pp1/2pp1n1p/1p2p3/3PP3/1PPBNN2/PBQ2PPP/R3R1K1 b - - 1 13,0.26
r1b1rbk1/p1q2pp1/1npp1n1p/1p2p3/3PP3/1PPBNN2/PBQ2PPP/R3R1K1 w - - 2 14,0.13
r1b1rbk1/p1q2pp1/1npp1n1p/1p2p3/3PP3/1PPBNN2/PBQ2PPP/3RR1K1 b - - 3 14,0.39
r1b1rbk1/p1q2pp1/1npp3p/1p2p3/3PP1n1/1PPBNN2/PBQ2PPP/3RR1K1 w - - 4 15,0.08
r1b1rbk1/p1q2pp1/1npp3p/1p2p3/3PP1N1/1PPB1N2/PBQ2PPP/3RR1K1 b - - 0 15,0.21
r3rbk1/p1q2pp1/1npp3p/1p2p3/3PP1b1/1PPB1N2/PBQ2PPP/3RR1K1 w - - 0 16,-0.09
r3rbk1/p1q2pp1/1npp3p/1p2p3/3PP1bN/1PPB4/PBQ2PPP/3RR1K1 b - - 1 16,-0.43
r3rbk1/p1q2pp1/1npp3p/1p2p3/3PP2N/1PPB4/PBQ2PPP/3bR1K1 w - - 0 17,-2.32
r3rbk1/p1q2pp1/1npp3p/1p2p3/3PP2N/1PPB4/PB3PPP/3QR1K1 b - - 0 17,-1.8
r3rbk1/p1q2p2/1npp2pp/1p2p3/3PP2N/1PPB4/PB3PPP/3QR1K1 w - - 0 18,-2.19
r3rbk1/p1q2p2/1npp2pp/1p2p3/3PP3/1PPB1N2/PB3PPP/3QR1K1 b - - 1 18,-2.14
3rrbk1/p1q2p2/1npp2pp/1p2p3/3PP3/1PPB1N2/PB3PPP/3QR1K1 w - - 2 19,-2.42
3rrbk1/p1q2p2/1npp2pp/1p2p3/3PP3/1PPB1N2/P4PPP/2BQR1K1 b - - 3 19,-1.9
3rr1k1/p1q2pb1/1npp2pp/1p2p3/3PP3/1PPB1N2/P4PPP/2BQR1K1 w - - 4 20,-2.24
3rr1k1/p1q2pb1/1npp2pp/1p2p3/3PP3/1PPBBN2/P4PPP/3QR1K1 b - - 5 20,-2.05
3rr1k1/2q2pb1/1npp2pp/pp2p3/3PP3/1PPBBN2/P4PPP/3QR1K1 w - - 0 21,-2.11
3rr1k1/2q2pb1/1npp2pp/pp2p3/3PP3/1PPBBN2/P4PPP/2Q1R1K1 b - - 1 21,-1.93
3rr3/2q2pbk/1npp2pp/pp2p3/3PP3/1PPBBN2/P4PPP/2Q1R1K1 w - - 2 22,-1.94
3rr3/2q2pbk/1npp2pp/pp2p3/3PP3/1PPBB3/P2N1PPP/2Q1R1K1 b - - 3 22,-2.58
3rr3/2qn1pbk/2pp2pp/pp2p3/3PP3/1PPBB3/P2N1PPP/2Q1R1K1 w - - 4 23,-2.54
3rr3/2qn1pbk/2pp2pp/pp2p3/3PP3/1PPBBP2/P2N2PP/2Q1R1K1 b - - 0 23,-2.84
