timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets,B3 - Toronto Blue Jays (decimal),B3 - New York Mets (decimal),SK - Toronto Blue Jays (decimal),SK - New York Mets (decimal),PP - Toronto Blue Jays (decimal),PP - New York Mets (decimal),WH - Toronto Blue Jays (decimal),WH - New York Mets (decimal),EE - Toronto Blue Jays (decimal),EE - New York Mets (decimal),FB - Toronto Blue Jays (decimal),FB - New York Mets (decimal),VC - Toronto Blue Jays (decimal),VC - New York Mets (decimal),LD - Toronto Blue Jays (decimal),LD - New York Mets (decimal),UN - Toronto Blue Jays (decimal),UN - New York Mets (decimal),SX - Toronto Blue Jays (decimal),SX - New York Mets (decimal),FR - Toronto Blue Jays (decimal),FR - New York Mets (decimal),KN - Toronto Blue Jays (decimal),KN - New York Mets (decimal),BY - Toronto Blue Jays (decimal),BY - New York Mets (decimal),OE - Toronto Blue Jays (decimal),OE - New York Mets (decimal),S6 - Toronto Blue Jays (decimal),S6 - New York Mets (decimal),PUP - Toronto Blue Jays (decimal),PUP - New York Mets (decimal),SI - Toronto Blue Jays (decimal),SI - New York Mets (decimal),LS - Toronto Blue Jays (decimal),LS - New York Mets (decimal),QN - Toronto Blue Jays (decimal),QN - New York Mets (decimal),WA - Toronto Blue Jays (decimal),WA - New York Mets (decimal),CE - Toronto Blue Jays (decimal),CE - New York Mets (decimal),N4 - Toronto Blue Jays (decimal),N4 - New York Mets (decimal),G5 - Toronto Blue Jays (decimal),G5 - New York Mets (decimal),VT - Toronto Blue Jays (decimal),VT - New York Mets (decimal),AKB - Toronto Blue Jays (decimal),AKB - New York Mets (decimal),BF - Toronto Blue Jays (decimal),BF - New York Mets (decimal),MA - Toronto Blue Jays (decimal),MA - New York Mets (decimal),Toronto Blue Jays (best odds),Toronto Blue Jays (best providers),New York Mets (best odds),New York Mets (best providers),total_probability,minimum_return_1000_GBP
1743902311.509818,0,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,11/50,3,1/5,16/5,1/5,7/2,2/9,3,2/11,7/2,,,,,2/9,3,1/100,2/11,1/5,4/7,0.8571428571428571,4.0,,,0.8461538461538461,0.2222222222222222,0.8181818181818182,3.0,0.875,0.21052631578947367,0.8333333333333334,0.23076923076923078,,,0.8181818181818182,3.0,0.819672131147541,0.23809523809523808,0.875,4.0,0.8571428571428571,4.0,0.8823529411764706,4.0,0.8333333333333334,0.23076923076923078,0.8461538461538461,0.23076923076923078,0.8181818181818182,3.0,0.8333333333333334,0.23076923076923078,0.875,4.0,0.819672131147541,3.0,0.8333333333333334,0.23809523809523808,0.8333333333333334,0.2222222222222222,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,,,,,0.8181818181818182,3.0,0.9900990099009901,0.8461538461538461,0.8333333333333334,0.6363636363636364,0.8181818181818182,WH-LD-S6-CE-AKB,0.21052631578947367,EE,1.0287081339712918,972.09
1743902341.7842896,1,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,11/50,3,1/5,16/5,1/5,7/2,2/9,3,2/11,7/2,,,,,2/9,3,1/100,2/11,1/5,4/7,0.8571428571428571,4.0,,,0.8461538461538461,0.2222222222222222,0.8181818181818182,3.0,0.875,0.21052631578947367,0.8333333333333334,0.23076923076923078,,,0.8181818181818182,3.0,0.819672131147541,0.23809523809523808,0.875,4.0,0.8571428571428571,4.0,0.8823529411764706,4.0,0.8333333333333334,0.23076923076923078,0.8461538461538461,0.23076923076923078,0.8181818181818182,3.0,0.8333333333333334,0.23076923076923078,0.875,4.0,0.819672131147541,3.0,0.8333333333333334,0.23809523809523808,0.8333333333333334,0.2222222222222222,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,,,,,0.8181818181818182,3.0,0.9900990099009901,0.8461538461538461,0.8333333333333334,0.6363636363636364,0.8181818181818182,WH-LD-S6-CE-AKB,0.21052631578947367,EE,1.0287081339712918,972.09
1743902371.75746,2,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,2/11,10/3,1/5,16/5,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,13/5,1/5,13/5,0.8571428571428571,4.0,,,0.8461538461538461,0.2222222222222222,0.8181818181818182,3.0,0.875,0.21052631578947367,0.8333333333333334,0.23076923076923078,,,0.8181818181818182,3.0,0.819672131147541,0.23809523809523808,0.875,4.0,0.8571428571428571,4.0,0.8823529411764706,4.0,0.8333333333333334,0.23076923076923078,0.8461538461538461,0.23076923076923078,0.8181818181818182,3.0,0.8333333333333334,0.23076923076923078,0.875,4.0,0.8461538461538461,0.23076923076923078,0.8333333333333334,0.23809523809523808,0.8181818181818182,3.0,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,,,,,0.8181818181818182,3.0,0.8461538461538461,0.2777777777777778,0.8333333333333334,0.2777777777777778,0.8181818181818182,WH-LD-S6-WA-CE-AKB,0.21052631578947367,EE,1.0287081339712918,972.09
1743902400.9884903,3,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/13,18/5,1/5,10/3,1/5,3,2/9,3,1/5,10/3,1/7,4,2/15,4,2/13,4,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,3,2/13,13/5,0.8571428571428571,4.0,,,0.8461538461538461,0.2222222222222222,0.8181818181818182,3.0,0.875,0.21052631578947367,0.8333333333333334,0.23076923076923078,,,0.8181818181818182,3.0,0.819672131147541,0.23809523809523808,0.875,4.0,0.8571428571428571,4.0,0.8666666666666667,0.21739130434782608,0.8333333333333334,0.23076923076923078,0.8333333333333334,3.0,0.8181818181818182,3.0,0.8333333333333334,0.23076923076923078,0.875,4.0,0.8823529411764706,4.0,0.8666666666666667,4.0,0.8181818181818182,3.0,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,,,,,0.8181818181818182,3.0,0.8461538461538461,3.0,0.8666666666666667,0.2777777777777778,0.8181818181818182,WH-LD-S6-WA-CE-AKB,0.21052631578947367,EE,1.0287081339712918,972.09
1743902430.4186058,4,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/13,18/5,1/5,10/3,1/5,3,2/9,3,1/5,10/3,1/7,4,2/15,4,2/13,4,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,3,2/13,13/5,0.8571428571428571,4.0,,,0.8461538461538461,0.2222222222222222,0.8181818181818182,3.0,0.875,0.21052631578947367,0.8333333333333334,0.23076923076923078,,,0.8181818181818182,3.0,0.819672131147541,0.23809523809523808,0.875,4.0,0.8571428571428571,4.0,0.8666666666666667,0.21739130434782608,0.8333333333333334,0.23076923076923078,0.8333333333333334,3.0,0.8181818181818182,3.0,0.8333333333333334,0.23076923076923078,0.875,4.0,0.8823529411764706,4.0,0.8666666666666667,4.0,0.8181818181818182,3.0,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,,,,,0.8181818181818182,3.0,0.8461538461538461,3.0,0.8666666666666667,0.2777777777777778,0.8181818181818182,WH-LD-S6-WA-CE-AKB,0.21052631578947367,EE,1.0287081339712918,972.09
1743902459.429371,5,1/6,4,,,1/7,4,2/13,15/4,1/7,15/4,1/6,4,,,2/9,3,2/15,9/2,1/7,4,2/13,9/2,2/15,4,1/6,4,1/5,3,2/9,3,2/11,7/2,1/7,4,2/15,4,2/13,15/4,1/6,4,2/11,19/5,1/7,4,,,,,2/9,3,2/11,13/5,2/13,7/2,0.8571428571428571,4.0,,,0.875,4.0,0.8666666666666667,0.21052631578947367,0.875,0.21052631578947367,0.8571428571428571,4.0,,,0.8181818181818182,3.0,0.8823529411764706,0.18181818181818182,0.875,4.0,0.8666666666666667,0.18181818181818182,0.8823529411764706,4.0,0.8571428571428571,4.0,0.8333333333333334,3.0,0.8181818181818182,3.0,0.8461538461538461,0.2222222222222222,0.875,4.0,0.8823529411764706,4.0,0.8666666666666667,0.21052631578947367,0.8571428571428571,4.0,0.8461538461538461,0.20833333333333334,0.875,4.0,,,,,0.8181818181818182,3.0,0.8461538461538461,0.2777777777777778,0.8666666666666667,0.2222222222222222,0.8181818181818182,LD-S6-AKB,0.18181818181818182,UN-FR,1.0,1000.0
1743902489.5078688,6,1/6,4,,,1/8,9/2,2/13,15/4,1/7,15/4,1/7,9/2,,,2/11,19/5,2/15,9/2,1/7,4,2/13,9/2,2/13,18/5,1/7,9/2,1/5,3,2/11,7/2,2/11,7/2,1/7,4,1/7,4,2/13,15/4,1/6,4,1/6,19/5,1/7,4,,,,,2/11,7/2,2/11,2/11,2/13,7/2,0.8571428571428571,4.0,,,0.8888888888888888,0.18181818181818182,0.8666666666666667,0.21052631578947367,0.875,0.21052631578947367,0.875,0.18181818181818182,,,0.8461538461538461,0.20833333333333334,0.8823529411764706,0.18181818181818182,0.875,4.0,0.8666666666666667,0.18181818181818182,0.8666666666666667,0.21739130434782608,0.875,0.18181818181818182,0.8333333333333334,3.0,0.8461538461538461,0.2222222222222222,0.8461538461538461,0.2222222222222222,0.875,4.0,0.875,4.0,0.8666666666666667,0.21052631578947367,0.8571428571428571,4.0,0.8571428571428571,0.20833333333333334,0.875,4.0,,,,,0.8461538461538461,0.2222222222222222,0.8461538461538461,0.8461538461538461,0.8666666666666667,0.2222222222222222,0.8333333333333334,OE,0.18181818181818182,PP-FB-UN-FR-BY,1.0151515151515151,985.05
1743902518.6009388,7,1/6,4,,,1/8,9/2,2/13,15/4,1/7,15/4,1/7,9/2,,,2/11,19/5,2/15,9/2,1/7,4,2/13,9/2,2/13,18/5,1/7,9/2,1/5,3,2/11,7/2,2/11,7/2,1/7,4,1/7,4,2/13,15/4,1/6,4,1/6,19/5,1/7,4,,,,,2/11,7/2,2/11,2/11,2/13,7/2,0.8571428571428571,4.0,,,0.8888888888888888,0.18181818181818182,0.8666666666666667,0.21052631578947367,0.875,0.21052631578947367,0.875,0.18181818181818182,,,0.8461538461538461,0.20833333333333334,0.8823529411764706,0.18181818181818182,0.875,4.0,0.8666666666666667,0.18181818181818182,0.8666666666666667,0.21739130434782608,0.875,0.18181818181818182,0.8333333333333334,3.0,0.8461538461538461,0.2222222222222222,0.8461538461538461,0.2222222222222222,0.875,4.0,0.875,4.0,0.8666666666666667,0.21052631578947367,0.8571428571428571,4.0,0.8571428571428571,0.20833333333333334,0.875,4.0,,,,,0.8461538461538461,0.2222222222222222,0.8461538461538461,0.8461538461538461,0.8666666666666667,0.2222222222222222,0.8333333333333334,OE,0.18181818181818182,PP-FB-UN-FR-BY,1.0151515151515151,985.05
1743902548.5214558,8,1/6,4,,,1/9,5,1/8,9/2,1/10,19/4,1/10,11/2,,,1/7,9/2,1/10,27/5,1/7,4,2/15,5,2/15,4,1/8,5,1/8,17/4,2/11,7/2,2/11,7/2,1/9,5,1/10,24/5,1/8,9/2,1/8,5,1/7,9/2,1/9,5,,,,,2/11,7/2,1/8,461/100,1/6,7/2,0.8571428571428571,4.0,,,0.9,5.0,0.8888888888888888,0.18181818181818182,0.9090909090909091,0.17391304347826086,0.9090909090909091,0.15384615384615385,,,0.875,0.18181818181818182,0.9090909090909091,0.15625,0.875,4.0,0.8823529411764706,5.0,0.8823529411764706,4.0,0.8888888888888888,5.0,0.8888888888888888,0.19047619047619047,0.8461538461538461,0.2222222222222222,0.8461538461538461,0.2222222222222222,0.9,5.0,0.9090909090909091,0.1724137931034483,0.8888888888888888,0.18181818181818182,0.8888888888888888,5.0,0.875,0.18181818181818182,0.9,5.0,,,,,0.8461538461538461,0.2222222222222222,0.8888888888888888,0.17825311942959002,0.8571428571428571,0.2222222222222222,0.8461538461538461,S6-PUP-AKB,0.15384615384615385,FB,1.0,1000.0
1743902575.009961,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
