timestamp,num,B3 - Jiri Louda,B3 - Marcel Pikous,SK - Jiri Louda,SK - Marcel Pikous,PP - Jiri Louda,PP - Marcel Pikous,WH - Jiri Louda,WH - Marcel Pikous,EE - Jiri Louda,EE - Marcel Pikous,FB - Jiri Louda,FB - Marcel Pikous,VC - Jiri Louda,VC - Marcel Pikous,LD - Jiri Louda,LD - Marcel Pikous,UN - Jiri Louda,UN - Marcel Pikous,SX - Jiri Louda,SX - Marcel Pikous,FR - Jiri Louda,FR - Marcel Pikous,KN - Jiri Louda,KN - Marcel Pikous,BY - Jiri Louda,BY - Marcel Pikous,OE - Jiri Louda,OE - Marcel Pikous,S6 - Jiri Louda,S6 - Marcel Pikous,PUP - Jiri Louda,PUP - Marcel Pikous,SI - Jiri Louda,SI - Marcel Pikous,LS - Jiri Louda,LS - Marcel Pikous,QN - Jiri Louda,QN - Marcel Pikous,WA - Jiri Louda,WA - Marcel Pikous,CE - Jiri Louda,CE - Marcel Pikous,N4 - Jiri Louda,N4 - Marcel Pikous,G5 - Jiri Louda,G5 - Marcel Pikous,VT - Jiri Louda,VT - Marcel Pikous,AKB - Jiri Louda,AKB - Marcel Pikous,BF - Jiri Louda,BF - Marcel Pikous,B3 - Jiri Louda (decimal),B3 - Marcel Pikous (decimal),SK - Jiri Louda (decimal),SK - Marcel Pikous (decimal),PP - Jiri Louda (decimal),PP - Marcel Pikous (decimal),WH - Jiri Louda (decimal),WH - Marcel Pikous (decimal),EE - Jiri Louda (decimal),EE - Marcel Pikous (decimal),FB - Jiri Louda (decimal),FB - Marcel Pikous (decimal),VC - Jiri Louda (decimal),VC - Marcel Pikous (decimal),LD - Jiri Louda (decimal),LD - Marcel Pikous (decimal),UN - Jiri Louda (decimal),UN - Marcel Pikous (decimal),SX - Jiri Louda (decimal),SX - Marcel Pikous (decimal),FR - Jiri Louda (decimal),FR - Marcel Pikous (decimal),KN - Jiri Louda (decimal),KN - Marcel Pikous (decimal),BY - Jiri Louda (decimal),BY - Marcel Pikous (decimal),OE - Jiri Louda (decimal),OE - Marcel Pikous (decimal),S6 - Jiri Louda (decimal),S6 - Marcel Pikous (decimal),PUP - Jiri Louda (decimal),PUP - Marcel Pikous (decimal),SI - Jiri Louda (decimal),SI - Marcel Pikous (decimal),LS - Jiri Louda (decimal),LS - Marcel Pikous (decimal),QN - Jiri Louda (decimal),QN - Marcel Pikous (decimal),WA - Jiri Louda (decimal),WA - Marcel Pikous (decimal),CE - Jiri Louda (decimal),CE - Marcel Pikous (decimal),N4 - Jiri Louda (decimal),N4 - Marcel Pikous (decimal),G5 - Jiri Louda (decimal),G5 - Marcel Pikous (decimal),VT - Jiri Louda (decimal),VT - Marcel Pikous (decimal),AKB - Jiri Louda (decimal),AKB - Marcel Pikous (decimal),BF - Jiri Louda (decimal),BF - Marcel Pikous (decimal),Jiri Louda (best odds),Jiri Louda (best providers),Marcel Pikous (best odds),Marcel Pikous (best providers),total_probability,minimum_return_1000_GBP
1743968084.221626,10,,,1/3,9/4,,,2/5,7/4,1/3,9/4,,,,,7/10,1,3/4,49/50,,,,,4/9,29/20,1/2,29/20,4/11,19/10,,,,,,,1/4,23/10,,,,,2/5,8/5,,,31/100,11/5,,,,,,,,,0.75,0.3076923076923077,,,0.7142857142857143,0.36363636363636365,0.75,0.3076923076923077,,,,,0.5882352941176471,1.0,0.5714285714285714,0.5050505050505051,,,,,0.6923076923076923,0.40816326530612246,0.6666666666666666,0.40816326530612246,0.7333333333333333,0.3448275862068966,,,,,,,0.8,0.30303030303030304,,,,,0.7142857142857143,0.38461538461538464,,,0.7633587786259542,0.3125,,,,,,,0.5714285714285714,UN,0.30303030303030304,LS,0.8744588744588744,1143.55
1743968114.3763094,11,,,1/3,9/4,,,1/3,9/4,1/3,9/4,,,,,3/10,21/10,1/4,5/2,,,,,4/9,29/20,1/3,85/40,4/11,19/10,,,,,,,33/100,19/10,,,,,3/10,21/10,,,31/100,11/5,,,,,,,,,0.75,0.3076923076923077,,,0.75,0.3076923076923077,0.75,0.3076923076923077,,,,,0.7692307692307693,0.3225806451612903,0.8,0.2857142857142857,,,,,0.6923076923076923,0.40816326530612246,0.75,0.32,0.7333333333333333,0.3448275862068966,,,,,,,0.7518796992481203,0.3448275862068966,,,,,0.7692307692307693,0.3225806451612903,,,0.7633587786259542,0.3125,,,,,,,0.6923076923076923,KN,0.2857142857142857,UN,0.978021978021978,1022.46
1743968145.2015722,12,,,4/11,2,,,4/11,2,2/7,5/2,,,,,1/4,5/2,1/4,5/2,,,,,4/9,29/20,1/3,2,4/11,19/10,,,,,,,1/6,17/5,,,,,4/11,9/5,,,27/100,12/5,,,,,,,,,0.7333333333333333,2.0,,,0.7333333333333333,2.0,0.7777777777777778,0.2857142857142857,,,,,0.8,0.2857142857142857,0.8,0.2857142857142857,,,,,0.6923076923076923,0.40816326530612246,0.75,2.0,0.7333333333333333,0.3448275862068966,,,,,,,0.8571428571428571,0.22727272727272727,,,,,0.7333333333333333,0.35714285714285715,,,0.7874015748031497,0.29411764705882354,,,,,,,0.6923076923076923,KN,0.22727272727272727,LS,0.9195804195804196,1087.45
1743968175.412965,13,,,1/4,11/4,,,1/4,11/4,2/9,3,,,,,1/4,5/2,1/4,5/2,,,,,4/9,29/20,1/4,5/2,4/11,19/10,,,,,,,1/6,17/5,,,,,3/10,21/10,,,1/4,13/5,,,,,,,,,0.8,0.26666666666666666,,,0.8,0.26666666666666666,0.8181818181818182,3.0,,,,,0.8,0.2857142857142857,0.8,0.2857142857142857,,,,,0.6923076923076923,0.40816326530612246,0.8,0.2857142857142857,0.7333333333333333,0.3448275862068966,,,,,,,0.8571428571428571,0.22727272727272727,,,,,0.7692307692307693,0.3225806451612903,,,0.8,0.2777777777777778,,,,,,,0.6923076923076923,KN,0.22727272727272727,LS,0.9195804195804196,1087.45
1743968207.6848905,14,,,2/7,5/2,,,2/7,5/2,2/7,5/2,,,,,1/4,5/2,1/6,18/5,,,,,4/7,59/50,1/5,29/10,4/11,19/10,,,,,,,1/5,14/5,,,,,1/4,5/2,,,27/100,5/2,,,,,,,,,0.7777777777777778,0.2857142857142857,,,0.7777777777777778,0.2857142857142857,0.7777777777777778,0.2857142857142857,,,,,0.8,0.2857142857142857,0.8571428571428571,0.21739130434782608,,,,,0.6363636363636364,0.45871559633027525,0.8333333333333334,0.2564102564102564,0.7333333333333333,0.3448275862068966,,,,,,,0.8333333333333334,0.2631578947368421,,,,,0.8,0.2857142857142857,,,0.7874015748031497,0.2857142857142857,,,,,,,0.6363636363636364,KN,0.21739130434782608,UN,0.8537549407114624,1171.3
1743968291.8629675,15,,,4/7,5/4,,,8/15,11/8,6/10,5/4,,,,,3/10,21/10,12/25,6/4,,,,,4/11,17/10,4/9,13/8,3/10,11/5,,,,,,,16/25,11/10,,,,,8/15,13/10,,,10/19,13/10,,,,,,,,,0.6363636363636364,0.4444444444444444,,,0.6521739130434783,0.42105263157894735,0.625,0.4444444444444444,,,,,0.7692307692307693,0.3225806451612903,0.6756756756756757,0.4,,,,,0.7333333333333333,0.37037037037037035,0.6923076923076923,0.38095238095238093,0.7692307692307693,0.3125,,,,,,,0.6097560975609756,0.47619047619047616,,,,,0.6521739130434783,0.43478260869565216,,,0.6551724137931034,0.43478260869565216,,,,,,,0.6097560975609756,LS,0.3125,OE,0.9222560975609756,1084.29
1743968323.0014162,16,,,5/6,5/6,,,4/5,10/11,4/5,10/11,,,,,1/2,11/8,12/25,6/4,,,,,4/11,17/10,3/4,20/21,3/10,11/5,,,,,,,3/4,10/11,,,,,8/11,19/20,,,10/13,93/100,,,,,,,,,0.5454545454545454,0.5454545454545454,,,0.5555555555555556,0.5238095238095238,0.5555555555555556,0.5238095238095238,,,,,0.6666666666666666,0.42105263157894735,0.6756756756756757,0.4,,,,,0.7333333333333333,0.37037037037037035,0.5714285714285714,0.5121951219512195,0.7692307692307693,0.3125,,,,,,,0.5714285714285714,0.5238095238095238,,,,,0.5789473684210527,0.5128205128205128,,,0.5652173913043478,0.5181347150259067,,,,,,,0.5454545454545454,SK,0.3125,OE,0.8579545454545454,1165.56
1743968353.963991,17,,,5/6,5/6,,,4/5,10/11,4/5,10/11,,,,,8/15,13/10,10/13,19/20,,,,,4/9,29/20,5/6,9/10,3/10,11/5,,,,,,,3/4,10/11,,,,,1/2,11/8,,,17/20,17/20,,,,,,,,,0.5454545454545454,0.5454545454545454,,,0.5555555555555556,0.5238095238095238,0.5555555555555556,0.5238095238095238,,,,,0.6521739130434783,0.43478260869565216,0.5652173913043478,0.5128205128205128,,,,,0.6923076923076923,0.40816326530612246,0.5454545454545454,0.5263157894736842,0.7692307692307693,0.3125,,,,,,,0.5714285714285714,0.5238095238095238,,,,,0.6666666666666666,0.42105263157894735,,,0.5405405405405406,0.5405405405405406,,,,,,,0.5405405405405406,G5,0.3125,OE,0.8530405405405406,1172.27
1743968383.300288,18,,,1,8/11,,,4/5,10/11,4/5,10/11,,,,,19/20,8/11,10/13,19/20,,,,,4/11,17/10,1,3/4,1,8/11,,,,,,,3/4,23/25,,,,,4/5,10/11,,,5/6,22/25,,,,,,,,,1.0,0.5789473684210527,,,0.5555555555555556,0.5238095238095238,0.5555555555555556,0.5238095238095238,,,,,0.5128205128205128,0.5789473684210527,0.5652173913043478,0.5128205128205128,,,,,0.7333333333333333,0.37037037037037035,1.0,0.5714285714285714,1.0,0.5789473684210527,,,,,,,0.5714285714285714,0.5208333333333334,,,,,0.5555555555555556,0.5238095238095238,,,0.5454545454545454,0.5319148936170213,,,,,,,0.5128205128205128,LD,0.37037037037037035,KN,0.8831908831908831,1132.25
1743968413.924806,19,,,1,8/11,,,4/5,10/11,4/5,10/11,,,,,19/20,8/11,10/13,19/20,,,,,4/11,17/10,1,3/4,1,8/11,,,,,,,3/4,23/25,,,,,4/5,10/11,,,5/6,22/25,,,,,,,,,1.0,0.5789473684210527,,,0.5555555555555556,0.5238095238095238,0.5555555555555556,0.5238095238095238,,,,,0.5128205128205128,0.5789473684210527,0.5652173913043478,0.5128205128205128,,,,,0.7333333333333333,0.37037037037037035,1.0,0.5714285714285714,1.0,0.5789473684210527,,,,,,,0.5714285714285714,0.5208333333333334,,,,,0.5555555555555556,0.5238095238095238,,,0.5454545454545454,0.5319148936170213,,,,,,,0.5128205128205128,LD,0.37037037037037035,KN,0.8831908831908831,1132.25
1743968443.880447,20,,,5/6,5/6,,,10/11,4/5,8/11,4/5,,,,,4/7,1,19/20,10/13,,,,,23/25,3/4,3/4,1,8/11,1,,,,,,,4/7,19/20,,,,,7/10,1,,,61/100,4/5,,,,,,,,,0.5454545454545454,0.5454545454545454,,,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.5555555555555556,,,,,0.6363636363636364,1.0,0.5128205128205128,0.5652173913043478,,,,,0.5208333333333334,0.5714285714285714,0.5714285714285714,1.0,0.5789473684210527,1.0,,,,,,,0.6363636363636364,0.5128205128205128,,,,,0.5882352941176471,1.0,,,0.6211180124223602,0.5555555555555556,,,,,,,0.5128205128205128,UN,0.5128205128205128,LS,1.0256410256410255,975.0
1743968473.825381,21,,,5/6,5/6,,,10/11,4/5,8/11,4/5,,,,,4/7,1,19/20,10/13,,,,,23/25,3/4,3/4,1,8/11,1,,,,,,,4/7,19/20,,,,,7/10,1,,,61/100,4/5,,,,,,,,,0.5454545454545454,0.5454545454545454,,,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.5555555555555556,,,,,0.6363636363636364,1.0,0.5128205128205128,0.5652173913043478,,,,,0.5208333333333334,0.5714285714285714,0.5714285714285714,1.0,0.5789473684210527,1.0,,,,,,,0.6363636363636364,0.5128205128205128,,,,,0.5882352941176471,1.0,,,0.6211180124223602,0.5555555555555556,,,,,,,0.5128205128205128,UN,0.5128205128205128,LS,1.0256410256410255,975.0
1743968503.7901866,22,,,1,8/11,,,4/5,10/11,5/4,6/10,,,,,6/5,4/7,10/13,19/20,,,,,4/11,17/10,20/21,20/21,1,8/11,,,,,,,6/5,1/3,,,,,1,7/10,,,6/5,19/25,,,,,,,,,1.0,0.5789473684210527,,,0.5555555555555556,0.5238095238095238,0.4444444444444444,0.625,,,,,0.45454545454545453,0.6363636363636364,0.5652173913043478,0.5128205128205128,,,,,0.7333333333333333,0.37037037037037035,0.5121951219512195,0.5121951219512195,1.0,0.5789473684210527,,,,,,,0.45454545454545453,0.75,,,,,1.0,0.5882352941176471,,,0.45454545454545453,0.5681818181818182,,,,,,,0.4444444444444444,EE,0.37037037037037035,KN,0.8148148148148148,1227.26
1743968533.986142,23,,,1,8/11,,,4/5,10/11,5/4,6/10,,,,,6/5,4/7,10/13,19/20,,,,,4/11,17/10,20/21,20/21,1,8/11,,,,,,,6/5,1/3,,,,,1,7/10,,,6/5,19/25,,,,,,,,,1.0,0.5789473684210527,,,0.5555555555555556,0.5238095238095238,0.4444444444444444,0.625,,,,,0.45454545454545453,0.6363636363636364,0.5652173913043478,0.5128205128205128,,,,,0.7333333333333333,0.37037037037037035,0.5121951219512195,0.5121951219512195,1.0,0.5789473684210527,,,,,,,0.45454545454545453,0.75,,,,,1.0,0.5882352941176471,,,0.45454545454545453,0.5681818181818182,,,,,,,0.4444444444444444,EE,0.37037037037037035,KN,0.8148148148148148,1227.26
1743968565.8821626,24,,,4/11,2,,,2/5,7/4,2/5,7/4,,,,,2/5,15/8,1/3,10/13,,,,,17/10,4/11,20/21,20/21,8/11,1,,,,,,,8/15,7/5,,,,,1/2,15/8,,,2/5,9/5,,,,,,,,,0.7333333333333333,2.0,,,0.7142857142857143,0.36363636363636365,0.7142857142857143,0.36363636363636365,,,,,0.7142857142857143,0.34782608695652173,0.75,0.5652173913043478,,,,,0.37037037037037035,0.7333333333333333,0.5121951219512195,0.5121951219512195,0.5789473684210527,1.0,,,,,,,0.6521739130434783,0.4166666666666667,,,,,0.6666666666666666,0.34782608695652173,,,0.7142857142857143,0.35714285714285715,,,,,,,0.37037037037037035,KN,0.34782608695652173,LD-CE,0.7181964573268921,1392.36
1743968596.455043,25,,,8/15,11/8,,,2/5,7/4,2/5,7/4,,,,,2/5,15/8,1/3,10/13,,,,,17/10,4/11,4/9,13/8,8/11,1,,,,,,,8/15,7/5,,,,,1/2,15/8,,,2/5,31/20,,,,,,,,,0.6521739130434783,0.42105263157894735,,,0.7142857142857143,0.36363636363636365,0.7142857142857143,0.36363636363636365,,,,,0.7142857142857143,0.34782608695652173,0.75,0.5652173913043478,,,,,0.37037037037037035,0.7333333333333333,0.6923076923076923,0.38095238095238093,0.5789473684210527,1.0,,,,,,,0.6521739130434783,0.4166666666666667,,,,,0.6666666666666666,0.34782608695652173,,,0.7142857142857143,0.39215686274509803,,,,,,,0.37037037037037035,KN,0.34782608695652173,LD-CE,0.7181964573268921,1392.36
1743968627.2028017,26,,,2/5,7/4,,,8/15,11/8,2/5,7/4,,,,,7/10,1,1/3,10/13,,,,,23/25,3/4,8/15,13/10,8/15,27/20,,,,,,,12/25,7/5,,,,,7/10,1,,,10/21,31/20,,,,,,,,,0.7142857142857143,0.36363636363636365,,,0.6521739130434783,0.42105263157894735,0.7142857142857143,0.36363636363636365,,,,,0.5882352941176471,1.0,0.75,0.5652173913043478,,,,,0.5208333333333334,0.5714285714285714,0.6521739130434783,0.43478260869565216,0.6521739130434783,0.425531914893617,,,,,,,0.6756756756756757,0.4166666666666667,,,,,0.5882352941176471,1.0,,,0.6774193548387096,0.39215686274509803,,,,,,,0.5208333333333334,KN,0.36363636363636365,SK-EE,0.884469696969697,1130.61
1743968659.592196,27,,,8/15,11/8,,,8/15,11/8,2/5,21/20,,,,,1/2,11/8,1/3,10/13,,,,,23/25,3/4,2/5,7/4,8/15,27/20,,,,,,,12/25,7/5,,,,,2/5,7/4,,,5/8,23/20,,,,,,,,,0.6521739130434783,0.42105263157894735,,,0.6521739130434783,0.42105263157894735,0.7142857142857143,0.4878048780487805,,,,,0.6666666666666666,0.42105263157894735,0.75,0.5652173913043478,,,,,0.5208333333333334,0.5714285714285714,0.7142857142857143,0.36363636363636365,0.6521739130434783,0.425531914893617,,,,,,,0.6756756756756757,0.4166666666666667,,,,,0.7142857142857143,0.36363636363636365,,,0.6153846153846154,0.46511627906976744,,,,,,,0.5208333333333334,KN,0.36363636363636365,BY-CE,0.884469696969697,1130.61
1743968690.1825943,28,,,8/15,11/8,,,8/15,21/20,2/5,21/20,,,,,1/2,11/8,1/3,10/13,,,,,23/25,3/4,2/5,21/20,8/15,27/20,,,,,,,2/5,6/5,,,,,1/2,11/8,,,4/6,23/20,,,,,,,,,0.6521739130434783,0.42105263157894735,,,0.6521739130434783,0.4878048780487805,0.7142857142857143,0.4878048780487805,,,,,0.6666666666666666,0.42105263157894735,0.75,0.5652173913043478,,,,,0.5208333333333334,0.5714285714285714,0.7142857142857143,0.4878048780487805,0.6521739130434783,0.425531914893617,,,,,,,0.7142857142857143,0.45454545454545453,,,,,0.6666666666666666,0.42105263157894735,,,0.6,0.46511627906976744,,,,,,,0.5208333333333334,KN,0.42105263157894735,SK-LD-CE,0.9418859649122807,1061.7
1743968721.8516948,29,,,2/5,7/4,,,8/13,6/5,8/13,7/4,,,,,4/9,17/4,1/3,17/10,,,,,23/25,8/5,4/9,6/5,8/15,27/20,,,,,,,7/10,49/50,,,,,3/5,23/20,,,2/5,17/10,,,,,,,,,0.7142857142857143,0.36363636363636365,,,0.6190476190476191,0.45454545454545453,0.6190476190476191,0.36363636363636365,,,,,0.6923076923076923,0.19047619047619047,0.75,0.37037037037037035,,,,,0.5208333333333334,0.38461538461538464,0.6923076923076923,0.45454545454545453,0.6521739130434783,0.425531914893617,,,,,,,0.5882352941176471,0.5050505050505051,,,,,0.625,0.46511627906976744,,,0.7142857142857143,0.37037037037037035,,,,,,,0.5208333333333334,KN,0.19047619047619047,LD,0.7113095238095238,1405.85
