timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743904519.6110866,54,4/9,7/4,,,4/11,2,2/5,7/4,4/11,9/5,2/5,15/8,,,4/11,2,4/11,41/20,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,2/5,15/8,2/5,47/25,2/5,7/4,2/5,37/20,4/9,17/10,4/9,7/4,4/11,2,2/5,7/4,,,,,2/5,47/25,4/9,17/10,4/7,1/6
1743904551.4620361,55,4/9,7/4,,,4/11,2,2/5,7/4,4/11,9/5,2/5,15/8,,,4/11,2,2/5,19/10,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,2/5,15/8,2/5,47/25,2/5,7/4,21/50,9/5,4/9,31/20,4/9,7/4,4/11,2,2/5,7/4,,,,,2/5,47/25,1/3,23/10,4/7,1/6
1743904582.2418537,56,4/9,7/4,,,4/11,2,2/5,7/4,2/5,17/10,4/11,21/10,,,4/11,2,2/5,19/10,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,21/50,33/20,4/9,7/4,2/5,47/25,2/5,7/4,21/50,9/5,4/9,31/20,1/2,31/20,4/11,2,2/5,7/4,,,,,2/5,47/25,1/3,19/10,4/7,1/6
1743904610.8765447,57,4/9,7/4,,,1/4,27/10,1/4,11/4,4/11,9/5,4/11,21/10,,,4/11,2,7/25,13/5,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,9/20,31/20,4/9,7/4,1/3,9/4,2/5,7/4,7/25,5/2,1/3,21/10,1/2,31/20,4/11,2,2/5,7/4,,,,,4/9,7/4,1/100,1/100,4/7,1/6
1743904640.3018095,58,4/9,7/4,,,1/4,27/10,1/4,11/4,4/11,9/5,4/11,21/10,,,4/11,2,7/25,13/5,2/5,7/4,4/9,15/8,4/9,31/20,2/5,15/8,9/20,31/20,4/9,7/4,1/3,9/4,2/5,7/4,7/25,5/2,1/3,21/10,1/2,31/20,4/11,2,2/5,7/4,,,,,4/9,7/4,1/100,1/100,4/7,1/6
1743904669.4090574,59,4/9,7/4,,,1/4,9/5,1/4,11/4,1/4,5/2,3/10,12/5,,,1/4,29/10,7/25,13/5,2/5,7/4,2/7,14/5,27/100,5/2,2/7,5/2,9/20,31/20,3/10,5/2,1/3,9/4,2/5,7/4,7/25,5/2,1/3,7/4,1/3,9/4,1/4,3,2/9,3,,,,,3/10,5/2,4/11,21/10,4/7,1/6
1743904700.1371834,60,4/9,7/4,,,1/4,9/5,1/4,11/4,1/4,5/2,3/10,12/5,,,1/4,29/10,7/25,13/5,2/5,7/4,2/7,14/5,27/100,5/2,2/7,5/2,9/20,31/20,3/10,5/2,1/3,9/4,2/5,7/4,7/25,5/2,1/3,7/4,1/3,9/4,1/4,3,2/9,3,,,,,3/10,5/2,4/11,21/10,4/7,1/6
1743904733.4947503,61,4/9,7/4,,,2/5,9/5,2/5,7/4,2/5,5/2,2/5,15/8,,,1/4,29/10,4/11,2,4/9,13/8,4/9,9/5,27/100,5/2,4/11,7/4,9/20,31/20,3/10,5/2,1/3,9/4,4/9,13/8,4/11,19/10,8/15,9/5,17/40,37/20,1/4,3,4/9,13/8,,,,,3/10,5/2,2/9,12/5,4/7,1/6
1743904763.2247205,62,10/21,33/20,,,2/11,9/5,1/5,10/3,2/5,17/10,1/5,10/3,,,1/4,29/10,4/11,2,4/9,13/8,1/5,7/2,27/100,5/2,1/5,10/3,9/20,31/20,3/10,5/2,1/3,9/4,1/5,10/3,1/6,7/2,2/11,7/2,17/40,37/20,1/4,3,1/5,31/10,,,,,3/10,5/2,2/9,12/5,4/7,1/6
1743904793.5430014,63,10/21,33/20,,,2/11,9/5,1/5,10/3,2/5,17/10,1/5,10/3,,,1/4,29/10,4/11,2,4/9,13/8,1/5,7/2,27/100,5/2,1/5,10/3,9/20,31/20,3/10,5/2,1/3,9/4,1/5,10/3,1/6,7/2,2/11,7/2,17/40,37/20,1/4,3,1/5,31/10,,,,,3/10,5/2,2/9,12/5,4/7,1/6
1743904822.4082143,64,10/21,7/2,,,2/11,7/2,1/6,7/2,1/5,3,1/5,10/3,,,1/4,29/10,4/11,19/5,1/5,10/3,1/5,7/2,27/100,5/2,1/6,4,1/6,31/20,1/5,10/3,1/5,10/3,1/5,10/3,2/11,19/5,2/11,18/5,2/11,15/4,1/4,3,1/5,31/10,,,,,1/5,10/3,2/9,19/10,2/11,1/6
1743904851.1101913,65,10/21,7/2,,,2/11,7/2,1/6,7/2,1/5,3,1/5,10/3,,,1/4,29/10,4/11,19/5,1/5,10/3,1/5,7/2,27/100,5/2,1/6,4,1/6,31/20,1/5,10/3,1/5,10/3,1/5,10/3,2/11,19/5,2/11,18/5,2/11,15/4,1/4,3,1/5,31/10,,,,,1/5,10/3,2/9,19/10,2/11,1/6
1743904880.6281118,66,1/5,7/2,,,2/11,7/2,1/6,7/2,1/5,31/10,1/5,4,,,1/4,29/10,1/6,7/2,1/5,10/3,1/5,7/2,27/100,5/2,1/6,4,1/6,7/2,1/5,10/3,1/5,10/3,1/5,10/3,1/5,19/5,2/11,10/3,2/11,15/4,1/4,3,1/5,7/2,,,,,1/5,10/3,1/100,3,1/6,1/6
1743904909.4159389,67,1/5,7/2,,,2/11,7/2,1/6,7/2,1/5,31/10,1/5,4,,,1/4,29/10,1/6,7/2,1/5,10/3,1/5,7/2,27/100,5/2,1/6,4,1/6,7/2,1/5,10/3,1/5,10/3,1/5,10/3,1/5,19/5,2/11,10/3,2/11,15/4,1/4,3,1/5,7/2,,,,,1/5,10/3,1/100,3,1/6,1/6
1743904939.1548626,68,1/5,7/2,,,1/7,4,1/6,7/2,1/6,13/4,1/25,10,,,1/4,29/10,1/5,7/2,1/6,7/2,2/11,19/5,2/9,14/5,1/40,12,1/6,7/2,1/5,10/3,1/5,10/3,1/6,7/2,1/40,19/2,1/14,9,2/11,15/4,1/4,3,2/11,7/2,,,,,1/5,10/3,2/11,7/2,1/20,1/6
1743905038.2072048,69,1/5,7/2,,,1/7,4,1/6,7/2,1/6,13/4,1/25,10,,,1/4,29/10,1/5,7/2,1/6,7/2,2/11,19/5,2/9,14/5,1/40,12,1/6,7/2,1/5,10/3,1/5,10/3,1/6,7/2,1/40,19/2,1/14,9,2/11,15/4,1/4,3,2/11,7/2,,,,,1/5,10/3,2/11,7/2,1/20,1/6
1743905068.8742497,70,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,11,1/50,12,1/20,15/2,1/14,15/2,1/40,5/2,1/20,9,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/50,10,1/20,15/2,1/25,17/2,1/33,11,1/20,7,,,,,1/14,15/2,1/25,49/5,1/20,1/6
1743905097.0152566,71,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,11,1/50,12,1/20,15/2,1/14,15/2,1/40,5/2,1/20,9,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/50,10,1/20,15/2,1/25,17/2,1/33,11,1/20,7,,,,,1/14,15/2,1/25,49/5,1/20,1/6
1743905128.814872,72,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,11,1/50,12,1/20,15/2,1/14,15/2,1/40,5/2,1/20,9,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/50,10,1/20,15/2,1/25,17/2,1/33,11,1/20,7,,,,,1/14,15/2,1/25,49/5,1/20,1/6
1743905158.826197,73,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,11,1/20,9,1/20,15/2,1/14,15/2,1/50,5/2,1/20,9,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/25,8,1/20,15/2,1/20,8,1/33,11,1/20,7,,,,,1/14,15/2,1/25,19/10,1/20,1/6
1743905188.1934068,74,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,11,1/20,9,1/20,15/2,1/14,15/2,1/50,5/2,1/20,9,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/25,8,1/20,15/2,1/20,8,1/33,11,1/20,7,,,,,1/14,15/2,1/25,19/10,1/20,1/6
1743905218.3672948,75,1/18,9,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/40,5/2,1/18,8,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/25,8,1/20,15/2,1/20,8,1/33,10,1/20,7,,,,,1/14,15/2,1/25,49/5,1/20,1/6
1743905247.8864787,76,1/18,9,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/40,5/2,1/18,8,1/25,15/2,1/14,15/2,1/14,15/2,1/20,15/2,1/25,8,1/20,15/2,1/20,8,1/33,10,1/20,7,,,,,1/14,15/2,1/25,49/5,1/20,1/6
1743905277.0290327,77,1/18,9,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/40,9,1/18,8,1/25,15/2,1/12,13/2,1/12,13/2,1/20,15/2,1/25,17/2,1/20,15/2,1/20,8,1/33,10,1/20,7,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905306.6234941,78,1/18,9,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/40,9,1/18,8,1/25,15/2,1/12,13/2,1/12,13/2,1/20,15/2,1/25,17/2,1/20,15/2,1/20,8,1/33,10,1/20,7,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905333.1166146,79
1743905363.2029521,80,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/50,19/2,1/20,9,1/25,15/2,1/12,13/2,1/14,8,1/20,15/2,1/40,19/2,1/25,8,1/16,15/2,1/33,10,1/20,7,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905393.4189575,81,1/18,9,,,1/33,9,1/20,8,1/20,15/2,1/20,9,,,1/33,10,1/20,9,1/20,15/2,1/14,15/2,1/50,19/2,1/20,9,1/25,15/2,1/12,13/2,1/14,8,1/20,15/2,1/40,19/2,1/25,8,1/16,15/2,1/33,10,1/20,7,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905421.932855,82,1/25,11,,,1/66,11,1/33,10,1/25,8,1/40,11,,,1/66,12,1/40,21/2,1/33,9,1/20,9,1/50,19/2,1/40,10,1/25,15/2,1/12,13/2,1/16,17/2,1/33,9,1/100,11,1/25,17/2,1/25,17/2,1/33,10,1/25,8,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905451.3129172,83,1/25,11,,,1/66,11,1/33,10,1/25,8,1/40,11,,,1/66,12,1/40,21/2,1/33,9,1/20,9,1/50,19/2,1/40,10,1/25,15/2,1/12,13/2,1/16,17/2,1/33,9,1/100,11,1/25,17/2,1/25,17/2,1/33,10,1/25,8,,,,,1/12,13/2,1/20,103/10,1/20,1/6
1743905479.958738,84,1/25,11,,,1/66,11,1/33,10,1/33,9,1/40,11,,,1/66,12,1/100,15,1/33,9,1/25,10,1/50,19/2,1/40,12,1/33,8,1/16,9,1/16,17/2,1/33,9,1/25,17/2,1/16,7,1/33,9,1/66,12,1/33,9,,,,,1/16,9,1/20,1/100,1/20,1/6
1743905509.5646374,85,1/25,11,,,1/66,11,1/33,10,1/33,9,1/40,11,,,1/66,12,1/100,15,1/33,9,1/25,10,1/50,19/2,1/40,12,1/33,8,1/16,9,1/16,17/2,1/33,9,1/25,17/2,1/16,7,1/33,9,1/66,12,1/33,9,,,,,1/16,9,1/20,1/100,1/20,1/6
1743905538.8778934,86,1/25,11,,,1/25,8,1/20,8,1/16,6,1/20,8,,,1/25,10,1/100,15,1/14,13/2,1/11,13/2,1/50,19/2,1/18,8,1/33,8,1/12,13/2,1/11,6,1/14,13/2,1/25,17/2,1/16,7,1/16,15/2,1/25,10,1/16,13/2,,,,,1/12,13/2,1/25,441/50,1/20,1/6
1743905657.4135275,87,1/25,11,,,1/25,8,1/20,8,1/16,6,1/20,8,,,1/25,10,1/100,15,1/14,13/2,1/11,13/2,1/50,19/2,1/18,8,1/33,8,1/12,13/2,1/11,6,1/14,13/2,1/25,17/2,1/16,7,1/16,15/2,1/25,10,1/16,13/2,,,,,1/12,13/2,1/25,441/50,1/20,1/6
1743905686.468206,88,1/14,15/2,,,1/14,6,1/14,13/2,1/16,6,1/12,11/2,,,1/20,17/2,1/18,8,1/14,13/2,1/11,13/2,1/40,17/2,1/14,13/2,1/16,13/2,1/10,11/2,1/7,9/2,1/14,13/2,1/12,23/4,1/10,5,1/12,13/2,1/25,9,1/16,13/2,,,,,1/10,11/2,1/25,49/5,1/20,1/6
1743905716.738337,89,1/14,15/2,,,1/14,6,1/14,13/2,1/16,6,1/12,11/2,,,1/20,17/2,1/18,8,1/14,13/2,1/11,13/2,1/40,17/2,1/14,13/2,1/16,13/2,1/10,11/2,1/7,9/2,1/14,13/2,1/12,23/4,1/10,5,1/12,13/2,1/25,9,1/16,13/2,,,,,1/10,11/2,1/25,49/5,1/20,1/6
1743905742.603424,90
1743905771.3751123,91,1/14,15/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/14,13/2,1/12,13/2,1/10,11/2,1/9,23/4,1/40,17/2,1/8,5,1/16,13/2,1/7,9/2,1/7,9/2,1/10,11/2,1/12,27/5,1/10,5,1/10,11/2,1/14,13/2,1/12,11/2,,,,,1/7,9/2,1/16,19/10,1/20,1/6
1743905801.092272,92,1/14,15/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/14,13/2,1/12,13/2,1/10,11/2,1/9,23/4,1/40,17/2,1/8,5,1/16,13/2,1/7,9/2,1/7,9/2,1/10,11/2,1/12,27/5,1/10,5,1/10,11/2,1/14,13/2,1/12,11/2,,,,,1/7,9/2,1/16,19/10,1/20,1/6
1743905829.5638719,93,1/9,11/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/14,13/2,1/12,6,1/10,11/2,1/9,23/4,1/40,11/2,1/8,5,1/11,21/4,1/7,9/2,1/7,9/2,1/10,11/2,1/12,27/5,1/10,5,1/10,11/2,1/14,13/2,1/12,11/2,,,,,1/7,9/2,1/12,647/100,1/20,1/6
1743905858.4148989,94,1/9,11/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/14,13/2,1/12,6,1/10,11/2,1/9,23/4,1/40,11/2,1/8,5,1/11,21/4,1/7,9/2,1/7,9/2,1/10,11/2,1/12,27/5,1/10,5,1/10,11/2,1/14,13/2,1/12,11/2,,,,,1/7,9/2,1/12,647/100,1/20,1/6
1743905887.200543,95,1/9,11/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/12,13/2,1/12,6,1/10,11/2,1/11,13/2,1/12,21/4,1/10,11/2,1/11,21/4,2/15,9/2,2/13,4,1/12,6,1/10,27/5,1/8,19/4,1/8,5,1/12,13/2,1/12,11/2,,,,,2/13,4,1/12,647/100,1/20,1/6
1743905916.708163,96,1/9,11/2,,,1/12,6,1/10,11/2,1/12,11/2,1/10,11/2,,,1/12,13/2,1/12,6,1/10,11/2,1/11,13/2,1/12,21/4,1/10,11/2,1/11,21/4,2/15,9/2,2/13,4,1/12,6,1/10,27/5,1/8,19/4,1/8,5,1/12,13/2,1/12,11/2,,,,,2/13,4,1/12,647/100,1/20,1/6
1743905952.1030464,97,1/14,15/2,,,1/14,13/2,1/12,6,1/16,6,1/12,13/2,,,1/14,7,1/14,13/2,1/12,6,1/11,13/2,1/14,21/4,1/10,6,1/11,21/4,1/8,5,1/8,5,1/14,13/2,1/16,6,1/14,13/2,1/8,5,1/16,7,1/16,13/2,,,,,1/8,5,1/12,19/10,1/20,1/6
1743905981.4169123,98,1/14,15/2,,,1/14,13/2,1/12,6,1/16,6,1/12,13/2,,,1/12,7,1/14,13/2,1/14,13/2,1/11,13/2,1/14,21/4,1/10,6,1/11,21/4,1/8,5,1/8,5,1/14,13/2,1/10,27/5,1/12,6,1/14,7,1/14,7,1/12,11/2,,,,,1/8,5,1/16,19/10,1/20,1/6
1743906007.6813052,99
1743906034.2171988,100
1743906060.4692981,101
1743906089.91377,102,1/22,10,,,1/250,14,1/50,12,1/33,9,1/80,14,,,1/50,12,1/50,12,1/50,10,1/33,12,1/12,21/4,1/100,14,1/12,11/2,1/16,17/2,1/18,10,1/33,9,1/50,22,1/50,10,1/33,9,1/50,12,1/100,12,,,,,1/16,17/2,1/12,343/50,1/20,1/6
1743906118.9840114,103,1/22,10,,,1/250,14,1/50,12,1/33,9,1/80,14,,,1/50,12,1/50,12,1/50,10,1/33,12,1/12,21/4,1/100,14,1/12,11/2,1/16,17/2,1/18,10,1/33,9,1/50,22,1/50,10,1/33,9,1/50,12,1/100,12,,,,,1/16,17/2,1/12,343/50,1/20,1/6
1743906145.2897437,104
1743906175.0002074,105,1/66,16,,,1/250,14,1/50,12,1/200,12,1/100,14,,,1/50,12,1/50,20,1/200,16,1/100,16,1/12,20,1/100,14,1/40,10,1/25,11,1/25,11,1/200,16,1/50,20,1/50,10,1/50,11,1/50,12,1/100,12,,,,,1/25,11,1/100,441/50,1/20,1/6
1743906281.6541553,106,1/80,33/2,,,1/250,16,1/66,14,1/250,14,1/100,16,,,1/50,12,1/50,24,1/400,20,1/100,18,1/12,20,1/100,14,1/40,10,1/33,14,1/33,12,1/400,20,1/50,25,1/100,11,1/100,12,1/50,12,1/100,12,,,,,1/33,14,1/50,441/50,1/20,1/6
1743906311.76966,107,1/80,33/2,,,1/250,16,1/66,14,1/250,14,1/100,16,,,1/50,12,1/50,24,1/400,20,1/100,18,1/12,20,1/100,14,1/40,10,1/33,14,1/33,12,1/400,20,1/50,25,1/100,11,1/100,12,1/50,12,1/100,12,,,,,1/33,14,1/50,441/50,1/20,1/6
1743906341.3254786,108,1/80,33/2,,,1/100,12,1/50,12,1/200,12,1/80,14,,,1/50,12,1/50,20,1/200,16,1/100,16,1/12,25,1/100,14,1/40,10,1/25,12,1/33,12,1/200,16,1/100,13,1/50,10,1/100,12,1/50,12,1/100,12,,,,,1/25,12,1/100,81/5,1/20,1/6
1743906370.1234086,109,1/80,33/2,,,1/100,12,1/50,12,1/200,12,1/80,14,,,1/50,12,1/50,20,1/200,16,1/100,16,1/12,25,1/100,14,1/40,10,1/25,12,1/33,12,1/200,16,1/100,13,1/50,10,1/100,12,1/50,12,1/100,12,,,,,1/25,12,1/100,81/5,1/20,1/6
1743906398.8234327,110,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/50,12,1/50,20,1/150,14,1/50,14,1/12,25,1/100,14,1/40,10,1/25,12,1/25,12,1/150,14,1/100,17,1/50,10,1/50,11,1/50,12,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743906428.0570645,111,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/50,12,1/50,20,1/150,14,1/50,14,1/12,25,1/100,14,1/40,10,1/25,12,1/25,12,1/150,14,1/100,17,1/50,10,1/50,11,1/50,12,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743906458.0241299,112,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/50,12,1/100,16,1/150,14,1/50,14,1/12,25,1/100,14,1/40,10,1/25,11,1/25,12,1/150,14,1/100,13,1/50,10,1/50,10,1/50,12,1/100,12,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906487.2647965,113,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/50,12,1/100,16,1/150,14,1/50,14,1/12,25,1/100,14,1/40,10,1/25,11,1/25,12,1/150,14,1/100,13,1/50,10,1/50,10,1/50,12,1/100,12,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906516.8044152,114,1/66,16,,,1/100,12,1/50,12,1/100,11,1/50,12,,,1/200,16,1/100,15,1/150,14,1/50,14,1/12,25,1/50,12,1/40,10,1/25,11,1/25,11,1/150,14,1/100,12,1/50,10,1/50,10,1/200,16,1/100,12,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906545.3568077,115,1/66,16,,,1/100,12,1/50,12,1/100,11,1/50,12,,,1/200,16,1/100,15,1/150,14,1/50,14,1/12,25,1/50,12,1/40,10,1/25,11,1/25,11,1/150,14,1/100,12,1/50,10,1/50,10,1/200,16,1/100,12,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906571.6383982,116
1743906600.5619428,117,1/66,16,,,1/80,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,12,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/150,16,1/50,10,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906629.531184,118,1/66,16,,,1/80,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,12,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/150,16,1/50,10,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906659.2993906,119,1/50,15,,,1/100,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/200,16,1/50,10,,,,,1/25,11,1/50,1/100,1/20,1/6
1743906688.2845123,120,1/50,15,,,1/100,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/200,16,1/50,10,,,,,1/25,11,1/50,1/100,1/20,1/6
1743906716.8239458,121,1/50,15,,,1/100,12,1/50,12,1/50,10,1/80,14,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,18,1/50,11,1/50,11,1/200,16,1/50,10,,,,,1/25,11,1/50,81/5,1/20,1/6
1743906806.3055568,122,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/150,16,1/100,18,1/150,14,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,12,1/150,14,1/100,18,1/50,11,1/50,11,1/200,16,1/100,12,,,,,1/25,11,1/50,81/5,1/20,1/6
1743906834.3311453,123,1/66,16,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/150,16,1/100,22,1/100,12,1/33,12,1/100,23/2,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,18,1/33,19/2,1/50,10,1/200,16,1/50,10,,,,,1/25,12,1/50,81/5,1/20,1/6
1743906862.8077166,124,1/66,16,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/150,16,1/100,22,1/100,12,1/33,12,1/100,23/2,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,18,1/33,19/2,1/50,10,1/200,16,1/50,10,,,,,1/25,12,1/50,81/5,1/20,1/6
1743906891.4610605,125,1/50,15,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/100,16,1/100,22,1/100,12,1/33,12,1/100,11,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,10,1/33,9,1/33,9,1/100,16,1/50,10,,,,,1/25,12,1/50,167/10,1/20,1/6
1743906920.2151034,126,1/50,15,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/100,16,1/100,22,1/100,12,1/33,12,1/100,11,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,10,1/33,9,1/33,9,1/100,16,1/50,10,,,,,1/25,12,1/50,167/10,1/20,1/6
1743906949.1853163,127,1/50,15,,,1/100,12,1/40,11,1/100,11,1/80,14,,,1/150,16,1/50,12,1/100,12,1/50,14,1/50,10,1/50,12,1/33,9,1/25,12,1/25,12,1/150,14,1/100,12,1/50,10,1/50,10,1/150,16,1/100,12,,,,,1/25,12,1/50,137/10,1/20,1/6
1743906976.9868705,128,1/50,15,,,1/100,12,1/40,11,1/100,11,1/80,14,,,1/150,16,1/50,12,1/100,12,1/50,14,1/50,10,1/50,12,1/33,9,1/25,12,1/25,12,1/150,14,1/100,12,1/50,10,1/50,10,1/150,16,1/100,12,,,,,1/25,12,1/50,137/10,1/20,1/6
1743907005.6752598,129,1/66,16,,,1/250,16,1/66,14,1/500,16,1/100,16,,,1/100,16,1/50,12,1/400,20,1/100,18,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/100,12,1/50,19,1/100,12,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/50,71/5,1/20,1/6
1743907036.4306352,130,1/66,16,,,1/250,16,1/66,14,1/500,16,1/100,16,,,1/100,16,1/50,12,1/400,20,1/100,18,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/100,12,1/50,19,1/100,12,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/50,71/5,1/20,1/6
1743907066.0292196,131,1/66,16,,,1/500,20,1/100,16,1/500,16,1/250,20,,,1/100,16,1/50,20,1/750,22,1/100,18,1/100,11,1/50,12,1/40,11,1/25,12,1/25,12,1/750,22,1/50,20,1/33,17/2,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907096.7574017,132,1/66,16,,,1/500,20,1/100,16,1/500,16,1/250,20,,,1/100,16,1/50,20,1/750,22,1/100,18,1/100,11,1/50,12,1/40,11,1/25,12,1/25,12,1/750,22,1/50,20,1/33,17/2,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907125.5570762,133,1/66,16,,,1/66,11,1/25,9,1/33,9,1/40,11,,,1/50,12,1/25,10,1/33,9,1/25,10,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/33,9,1/50,23/2,1/25,17/2,1/100,12,1/50,12,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907155.0002432,134,1/66,16,,,1/66,11,1/25,9,1/33,9,1/40,11,,,1/50,12,1/25,10,1/33,9,1/25,10,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/33,9,1/50,23/2,1/25,17/2,1/100,12,1/50,12,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
