timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743902908.9643614,13,1/4,3,,,2/9,3,1/4,11/4,1/5,3,2/9,31/10,,,1/4,29/10,1/5,17/5,2/9,3,4/17,16/5,1/6,18/5,1/5,3,1/5,3,2/9,3,2/11,7/2,2/9,3,2/9,3,1/4,27/10,2/9,3,1/4,29/10,1/5,31/10,,,,,2/9,3,1/5,11/4,1/6,13/5
1743902941.8545647,14,10/39,29/10,,,2/9,3,1/4,11/4,2/9,11/4,2/9,10/3,,,1/4,11/4,2/9,16/5,1/4,11/4,1/4,3,1/6,18/5,1/5,3,2/9,27/10,1/4,11/4,1/4,11/4,1/4,11/4,2/9,3,1/4,27/10,1/4,11/4,1/4,11/4,2/9,3,,,,,1/4,11/4,1/5,11/4,1/6,13/5
1743903024.6701481,15,10/39,29/10,,,2/9,3,1/4,11/4,1/4,5/2,2/9,31/10,,,1/4,11/4,2/9,16/5,2/7,5/2,2/7,13/5,11/50,29/10,1/4,11/4,2/9,27/10,2/7,5/2,2/7,5/2,2/7,5/2,1/4,14/5,4/15,13/5,1/4,11/4,2/7,13/5,1/4,13/5,,,,,2/7,5/2,1/4,11/4,1/6,13/5
1743903054.486656,16,10/39,29/10,,,2/9,3,1/4,11/4,1/4,5/2,2/9,31/10,,,1/4,11/4,2/9,16/5,2/7,5/2,2/7,13/5,11/50,29/10,1/4,11/4,2/9,27/10,2/7,5/2,2/7,5/2,2/7,5/2,1/4,14/5,4/15,13/5,1/4,11/4,2/7,13/5,1/4,13/5,,,,,2/7,5/2,1/4,11/4,1/6,13/5
1743903085.5612211,17,2/7,13/5,,,2/9,3,2/7,5/2,1/4,5/2,2/9,31/10,,,2/7,13/5,1/4,29/10,1/4,11/4,2/7,14/5,6/25,11/4,1/4,11/4,2/9,27/10,1/4,11/4,1/4,11/4,1/4,11/4,3/10,47/20,3/10,23/10,2/7,5/2,2/7,5/2,1/4,13/5,,,,,1/4,11/4,1/4,23/10,1/6,5/2
1743903118.755747,18,2/7,13/5,,,1/3,21/10,4/11,2,1/4,5/2,4/11,21/10,,,4/11,2,1/4,29/10,1/4,11/4,4/11,21/10,6/25,11/4,4/11,2,2/9,27/10,1/4,11/4,1/4,11/4,1/4,11/4,3/10,47/20,4/15,5/2,1/4,11/4,4/11,2,1/4,13/5,,,,,1/4,11/4,1/4,11/4,1/6,5/2
1743903152.1236994,19,2/7,13/5,,,1/3,21/10,4/11,2,2/7,9/4,4/11,21/10,,,4/11,2,1/4,29/10,1/3,11/5,1/3,23/10,11/50,29/10,3/10,5/2,2/9,27/10,4/11,2,1/4,11/4,1/3,11/5,7/20,21/10,4/11,2,1/4,11/4,2/5,15/8,3/10,9/4,,,,,4/11,2,1/5,11/4,1/6,21/10
1743903186.4484036,20,10/29,11/5,,,1/3,21/10,4/11,2,2/5,17/10,4/11,21/10,,,2/5,15/8,7/20,11/5,4/9,13/8,4/9,9/5,11/50,29/10,3/10,9/4,2/9,27/10,4/11,2,1/4,11/4,4/9,13/8,8/25,23/10,1/3,11/5,1/4,11/4,4/11,2,4/9,13/8,,,,,4/11,2,1/100,23/10,1/6,21/10
1743903217.3405416,21,10/29,11/5,,,4/11,2,4/11,2,2/5,17/10,2/5,15/8,,,2/5,15/8,7/20,11/5,2/5,7/4,4/9,15/8,6/25,11/4,3/10,9/4,2/9,27/10,4/11,2,4/11,2,2/5,7/4,33/100,11/5,1/3,21/10,1/4,11/4,7/20,21/10,2/5,7/4,,,,,4/11,2,2/9,19/10,1/6,7/4
1743903275.0169332,22,10/29,11/5,,,2/5,9/5,2/5,7/4,1/2,7/5,2/5,15/8,,,4/9,17/10,4/11,41/20,1/2,6/4,8/15,31/20,11/50,29/10,4/11,2,7/20,39/20,4/11,2,4/11,2,1/2,6/4,4/11,39/20,4/11,2,4/11,2,4/9,17/10,1/2,6/4,,,,,4/11,2,1/3,21/10,1/6,7/4
1743903327.662036,23,10/23,9/5,,,8/15,11/8,1/2,6/4,8/15,13/10,8/15,29/20,,,4/9,17/10,4/11,41/20,4/7,5/4,8/13,27/20,6/25,11/4,4/11,2,7/20,39/20,1/2,6/4,4/11,2,4/9,13/8,4/9,13/8,1/2,6/4,1/2,31/20,4/7,11/8,4/7,13/10,,,,,4/11,2,8/15,7/5,1/6,7/4
