timestamp,num,Man Utd,Draw,Man City,Man Utd (decimal),Draw (decimal),Man City (decimal),total_probability,minimum_return_1000_GBP
1743957406.221499,69,16/5,13/8,8/5,0.23809523809523808,0.38095238095238093,0.38461538461538464,1.0036630036630036,996.35
1743957437.21649,70,16/5,13/8,8/5,0.23809523809523808,0.38095238095238093,0.38461538461538464,1.0036630036630036,996.35
1743957542.677926,71,7/2,13/8,13/8,0.2222222222222222,0.38095238095238093,0.38095238095238093,0.9841269841269841,1016.14
1743957573.6497426,72,16/5,13/8,7/4,0.23809523809523808,0.38095238095238093,0.36363636363636365,0.9826839826839827,1017.61
1743957604.9872909,73,41/13,13/8,7/4,0.24074074074074073,0.38095238095238093,0.36363636363636365,0.9853294853294853,1014.88
1743957636.169606,74,41/13,13/8,13/8,0.24074074074074073,0.38095238095238093,0.38095238095238093,1.0026455026455026,997.37
1743957667.3746784,75,41/13,13/8,7/4,0.24074074074074073,0.38095238095238093,0.36363636363636365,0.9853294853294853,1014.88
1743957698.155929,76,16/5,13/8,7/4,0.23809523809523808,0.38095238095238093,0.36363636363636365,0.9826839826839827,1017.61
1743957729.9210465,77,16/5,13/8,7/4,0.23809523809523808,0.38095238095238093,0.36363636363636365,0.9826839826839827,1017.61
1743957760.5984335,78,13/4,13/8,7/4,0.23529411764705882,0.38095238095238093,0.36363636363636365,0.9798828622358035,1020.51
1743957791.1585298,79,13/4,13/8,7/4,0.23529411764705882,0.38095238095238093,0.36363636363636365,0.9798828622358035,1020.51
1743957821.454418,80,13/4,13/8,7/4,0.23529411764705882,0.38095238095238093,0.36363636363636365,0.9798828622358035,1020.51
1743957853.673779,81,7/2,13/8,7/4,0.2222222222222222,0.38095238095238093,0.36363636363636365,0.9668109668109668,1034.33
1743957884.7019794,82,13/4,13/8,7/4,0.23529411764705882,0.38095238095238093,0.36363636363636365,0.9798828622358035,1020.51
1743957917.240078,83,10/3,13/8,7/4,0.23076923076923078,0.38095238095238093,0.36363636363636365,0.9753579753579754,1025.25
1743957947.5091517,84,10/3,13/8,9/5,0.23076923076923078,0.38095238095238093,0.35714285714285715,0.968864468864469,1032.12
1743957977.9003253,85,57/17,13/8,9/5,0.22972972972972974,0.38095238095238093,0.35714285714285715,0.9678249678249677,1033.25
1743958008.682388,86,57/17,13/8,9/5,0.22972972972972974,0.38095238095238093,0.35714285714285715,0.9678249678249677,1033.25
1743958039.6062508,87,17/5,6/4,15/8,0.22727272727272727,0.4,0.34782608695652173,0.975098814229249,1025.52
