timestamp,num,Man Utd,Draw,Man City,Man Utd (decimal),Draw (decimal),Man City (decimal),total_probability,minimum_return_1000_GBP
1743955069.2827885,0,29/10,11/5,5/4,0.2564102564102564,0.3125,0.4444444444444444,1.0133547008547008,986.82
1743955104.9612796,1,29/10,11/5,5/4,0.2564102564102564,0.3125,0.4444444444444444,1.0133547008547008,986.82
1743955135.873849,2,29/10,11/5,5/4,0.2564102564102564,0.3125,0.4444444444444444,1.0133547008547008,986.82
1743955167.0721145,3,29/10,11/5,5/4,0.2564102564102564,0.3125,0.4444444444444444,1.0133547008547008,986.82
1743955198.2706206,4,29/10,11/5,5/4,0.2564102564102564,0.3125,0.4444444444444444,1.0133547008547008,986.82
1743955228.7463932,5,29/10,11/5,13/10,0.2564102564102564,0.3125,0.43478260869565216,1.0036928651059085,996.31
1743955259.8177524,6,29/10,11/5,13/10,0.2564102564102564,0.3125,0.43478260869565216,1.0036928651059085,996.31
1743955290.887882,7,14/5,11/5,13/10,0.2631578947368421,0.3125,0.43478260869565216,1.0104405034324941,989.66
1743955321.5842445,8,14/5,21/10,11/8,0.2631578947368421,0.3225806451612903,0.42105263157894735,1.0067911714770799,993.24
1743955352.0040956,9,14/5,21/10,11/8,0.2631578947368421,0.3225806451612903,0.42105263157894735,1.0067911714770799,993.24
1743955382.2885869,10,11/4,21/10,11/8,0.26666666666666666,0.3225806451612903,0.42105263157894735,1.0102999434069044,989.8
1743955416.5414605,11,27/10,21/10,11/8,0.2702702702702703,0.3225806451612903,0.42105263157894735,1.013903547010508,986.27
1743955448.0480354,12,27/10,21/10,11/8,0.2702702702702703,0.3225806451612903,0.42105263157894735,1.013903547010508,986.27
1743955478.5092974,13,11/4,2/1,11/8,0.26666666666666666,0.3333333333333333,0.42105263157894735,1.0210526315789474,979.38
1743955568.668919,14,27/10,2/1,11/8,0.2702702702702703,0.3333333333333333,0.42105263157894735,1.024656235182551,975.93
1743955597.9894176,15,27/10,41/20,11/8,0.2702702702702703,0.32786885245901637,0.42105263157894735,1.019191754308234,981.15
1743955629.0567844,16,27/10,41/20,7/5,0.2702702702702703,0.32786885245901637,0.4166666666666667,1.0148057893959535,985.42
1743955660.5815735,17,27/10,2/1,11/8,0.2702702702702703,0.3333333333333333,0.42105263157894735,1.024656235182551,975.93
1743955692.3822737,18,11/4,2/1,11/8,0.26666666666666666,0.3333333333333333,0.42105263157894735,1.0210526315789474,979.38
1743955723.325259,19,14/5,2/1,11/8,0.2631578947368421,0.3333333333333333,0.42105263157894735,1.0175438596491229,982.75
1743955754.545047,20,14/5,19/10,11/8,0.2631578947368421,0.3448275862068966,0.42105263157894735,1.029038112522686,971.77
1743955785.2935455,21,14/5,19/10,11/8,0.2631578947368421,0.3448275862068966,0.42105263157894735,1.029038112522686,971.77
1743955815.9537032,22,14/5,19/10,7/5,0.2631578947368421,0.3448275862068966,0.4166666666666667,1.0246521476104054,975.94
1743955846.300729,23,14/5,19/10,6/4,0.2631578947368421,0.3448275862068966,0.4,1.0079854809437387,992.07
1743955878.6960618,24,14/5,19/10,17/12,0.2631578947368421,0.3448275862068966,0.41379310344827586,1.0217785843920144,978.68
1743955907.5334516,25,14/5,19/10,7/5,0.2631578947368421,0.3448275862068966,0.4166666666666667,1.0246521476104054,975.94
1743955937.9680076,26,14/5,15/8,17/12,0.2631578947368421,0.34782608695652173,0.41379310344827586,1.0247770851416396,975.83
1743955968.3489134,27,14/5,37/20,6/4,0.2631578947368421,0.3508771929824561,0.4,1.0140350877192983,986.15
1743955998.9364712,28,37/13,37/20,6/4,0.26,0.3508771929824561,0.4,1.010877192982456,989.23
1743956027.9913146,29,37/13,37/20,6/4,0.26,0.3508771929824561,0.4,1.010877192982456,989.23
1743956058.3795328,30,37/13,37/20,6/4,0.26,0.3508771929824561,0.4,1.010877192982456,989.23
1743956090.5511892,31,29/10,9/5,6/4,0.2564102564102564,0.35714285714285715,0.4,1.0135531135531135,986.62
1743956121.046987,32,29/10,9/5,6/4,0.2564102564102564,0.35714285714285715,0.4,1.0135531135531135,986.62
1743956226.114982,33,3/1,7/4,6/4,0.25,0.36363636363636365,0.4,1.0136363636363637,986.53
1743956256.7251685,34,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956287.1579175,35,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956316.9882815,36,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956346.097527,37,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956375.890571,38,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956406.3550956,39,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956435.8711622,40,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956467.044912,41,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956497.002621,42,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956527.5439055,43,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956557.904039,44,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956588.288923,45,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956620.5473282,46,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956652.3720384,47,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956684.257569,48,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956715.9283962,49,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956745.464378,50,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956775.846099,51,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956880.764613,52,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956911.1755197,53,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956942.0001206,54,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743956972.0705285,55,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743957002.2640023,56,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743957032.983704,57,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743957063.5591545,58,56/19,7/4,6/4,0.25333333333333335,0.36363636363636365,0.4,1.016969696969697,983.32
1743957095.6635945,59,56/19,13/8,6/4,0.25333333333333335,0.38095238095238093,0.4,1.0342857142857143,966.84
1743957127.4296482,60,56/19,13/8,6/4,0.25333333333333335,0.38095238095238093,0.4,1.0342857142857143,966.84
1743957158.520507,61,56/19,13/8,6/4,0.25333333333333335,0.38095238095238093,0.4,1.0342857142857143,966.84
1743957189.9885302,62,56/19,13/8,6/4,0.25333333333333335,0.38095238095238093,0.4,1.0342857142857143,966.84
1743957220.2492056,63,56/19,13/8,6/4,0.25333333333333335,0.38095238095238093,0.4,1.0342857142857143,966.84
1743957250.4296978,64,56/19,13/8,31/20,0.25333333333333335,0.38095238095238093,0.39215686274509803,1.0264425770308123,974.23
1743957280.4627776,65,56/19,13/8,7/4,0.25333333333333335,0.38095238095238093,0.36363636363636365,0.997922077922078,1002.07
1743957311.3141985,66,3/1,13/8,7/4,0.25,0.38095238095238093,0.36363636363636365,0.9945887445887446,1005.43
1743957341.269894,67,3/1,13/8,8/5,0.25,0.38095238095238093,0.38461538461538464,1.0155677655677655,984.66
1743957372.1511445,68,3/1,13/8,13/8,0.25,0.38095238095238093,0.38095238095238093,1.0119047619047619,988.23
