timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets
1743904468.3400097,60,5/9,29/20,,,4/7,13/10,6/4,4/7,1/2,7/5,4/7,11/8,,,11/20,7/5,13/25,31/20,8/15,11/8,4/7,29/20,12/25,29/20,4/7,11/8,1/2,7/5,4/7,11/8,1/2,6/4,8/15,11/8,8/15,7/5,1/2,29/20,10/19,29/20,4/7,11/8,8/15,7/5,,,,,4/7,11/8,4/7,6/5,1/2,23/20
1743904496.9141405,61,5/9,29/20,,,4/7,13/10,6/4,4/7,1/2,7/5,4/7,11/8,,,11/20,7/5,13/25,31/20,8/15,11/8,4/7,29/20,12/25,29/20,4/7,11/8,1/2,7/5,4/7,11/8,1/2,6/4,8/15,11/8,8/15,7/5,1/2,29/20,10/19,29/20,4/7,11/8,8/15,7/5,,,,,4/7,11/8,4/7,6/5,1/2,23/20
1743904526.4890666,62,5/9,29/20,,,6/10,5/4,6/4,4/7,4/7,5/4,13/20,6/5,,,8/13,5/4,8/13,5/4,4/7,5/4,8/13,13/10,12/25,29/20,8/11,11/10,1/2,7/5,4/7,11/8,1/2,6/4,4/7,5/4,3/5,5/4,8/13,6/5,10/19,29/20,8/13,5/4,4/7,13/10,,,,,4/7,11/8,1/2,23/20,1/2,1
1743904556.1538432,63,5/9,29/20,,,6/10,5/4,6/4,4/7,4/7,5/4,13/20,6/5,,,8/13,5/4,8/13,5/4,4/7,5/4,8/13,13/10,12/25,29/20,8/11,11/10,1/2,7/5,4/7,11/8,1/2,6/4,4/7,5/4,3/5,5/4,8/13,6/5,10/19,29/20,8/13,5/4,4/7,13/10,,,,,4/7,11/8,1/2,23/20,1/2,1
1743904654.9246805,64,20/23,20/23,,,4/5,19/20,8/11,1,8/13,23/20,4/5,1,,,17/20,10/11,8/13,5/4,8/13,6/5,20/29,6/5,12/25,29/20,8/13,10/11,10/13,93/100,4/7,11/8,1/2,6/4,4/7,5/4,5/6,10/11,4/5,20/21,5/9,7/5,17/20,10/11,4/7,13/20,,,,,4/7,11/8,4/7,7/5,1/2,21/20
1743904684.5464413,65,20/23,20/23,,,4/6,23/20,8/11,1,4/5,5/6,4/6,23/20,,,17/20,10/11,17/20,10/11,4/5,10/11,20/23,20/21,41/50,9/10,4/5,10/11,10/13,93/100,4/5,1,17/20,10/11,5/6,5/6,5/6,10/11,4/5,20/21,4/5,1,17/20,10/11,5/6,10/11,,,,,4/5,1,8/11,21/20,4/6,20/21
1743904714.0517366,66,20/23,20/23,,,4/6,23/20,8/11,1,4/5,5/6,4/6,23/20,,,17/20,10/11,17/20,10/11,4/5,10/11,20/23,20/21,41/50,9/10,4/5,10/11,10/13,93/100,4/5,1,17/20,10/11,5/6,5/6,5/6,10/11,4/5,20/21,4/5,1,17/20,10/11,5/6,10/11,,,,,4/5,1,8/11,21/20,4/6,20/21
1743904743.8090904,67,4/5,20/21,,,4/6,23/20,8/11,1,5/6,17/20,4/6,23/20,,,17/20,19/20,17/20,10/11,4/5,10/11,20/23,20/21,41/50,9/10,4/5,10/11,10/13,93/100,5/6,20/21,17/20,20/21,4/5,10/11,5/6,10/11,4/5,10/11,4/5,1,10/11,10/11,5/6,10/11,,,,,5/6,20/21,8/11,21/20,4/6,20/21
1743904773.3536901,68,4/5,20/21,,,4/6,23/20,8/11,1,5/6,17/20,4/6,23/20,,,17/20,19/20,17/20,10/11,4/5,10/11,20/23,20/21,41/50,9/10,4/5,10/11,10/13,93/100,5/6,20/21,17/20,20/21,4/5,10/11,5/6,10/11,4/5,10/11,4/5,1,10/11,10/11,5/6,10/11,,,,,5/6,20/21,8/11,21/20,4/6,20/21
1743904801.6769457,69,4/5,20/21,,,4/7,13/10,8/11,1,8/11,5/6,4/7,23/20,,,7/10,19/20,17/20,10/11,4/5,10/11,5/6,1,41/50,9/10,4/5,1,10/13,1,3/4,21/20,3/4,21/20,4/5,10/11,3/4,1,4/5,20/21,5/6,20/21,10/11,10/11,3/4,1,,,,,3/4,21/20,4/6,1/100,4/7,20/21
1743904830.789282,70,4/5,20/21,,,4/7,13/10,8/11,1,8/11,5/6,4/7,23/20,,,7/10,19/20,17/20,10/11,4/5,10/11,5/6,1,41/50,9/10,4/5,1,10/13,1,3/4,21/20,3/4,21/20,4/5,10/11,3/4,1,4/5,20/21,5/6,20/21,10/11,10/11,3/4,1,,,,,3/4,21/20,4/6,1/100,4/7,20/21
1743904859.7978344,71,4/6,6/5,,,4/7,13/10,4/5,19/20,8/13,19/20,6/10,11/8,,,8/11,11/10,8/11,11/10,4/6,6/5,20/29,6/5,41/50,9/10,4/6,1,8/11,1,3/4,21/20,3/4,21/20,8/11,1,13/20,23/20,8/11,21/20,5/6,20/21,5/6,11/10,13/20,13/10,,,,,3/4,1,2/11,5/6,4/7,20/21
1743904889.6341872,72,4/6,6/5,,,4/7,13/10,4/5,19/20,8/13,19/20,6/10,11/8,,,8/11,11/10,8/11,11/10,4/6,6/5,20/29,6/5,41/50,9/10,4/6,1,8/11,1,3/4,21/20,3/4,21/20,8/11,1,13/20,23/20,8/11,21/20,5/6,20/21,5/6,11/10,13/20,13/10,,,,,3/4,1,2/11,5/6,4/7,20/21
1743904919.266694,73,4/6,6/5,,,4/7,5/4,10/11,10/11,4/5,23/20,4/7,11/8,,,7/10,1,5/6,19/20,5/6,6/5,20/21,20/23,41/50,9/10,8/11,11/10,8/11,1,3/4,10/11,3/4,10/11,8/13,6/5,41/50,23/25,4/5,10/11,4/5,1,5/6,11/10,5/6,23/20,,,,,4/5,1,4/6,11/10,4/6,5/6
1743904948.202382,74,4/6,6/5,,,4/7,5/4,10/11,10/11,4/5,23/20,4/7,11/8,,,7/10,1,5/6,19/20,5/6,6/5,20/21,20/23,41/50,9/10,8/11,11/10,8/11,1,3/4,10/11,3/4,10/11,8/13,6/5,41/50,23/25,4/5,10/11,4/5,1,5/6,11/10,5/6,23/20,,,,,4/5,1,4/6,11/10,4/6,5/6
1743904979.104836,75,20/23,20/23,,,10/11,19/20,10/11,10/11,8/11,19/20,21/20,9/10,,,1,4/5,22/25,10/11,4/5,10/11,20/23,1,9/10,41/50,10/11,10/11,1,8/11,4/6,23/20,4/6,23/20,4/5,10/11,7/10,22/25,8/13,21/20,20/21,5/6,1,4/5,5/6,10/11,,,,,4/6,23/20,1/100,4/7,8/15,4/6
1743905008.4881077,76,20/23,20/23,,,4/5,19/20,4/7,13/10,8/15,13/10,4/5,8/11,,,19/20,5/6,22/25,10/11,4/5,10/11,10/21,17/10,17/20,17/20,4/6,6/5,17/20,17/20,4/6,23/20,4/6,23/20,4/5,10/11,7/10,21/20,8/11,21/20,5/7,11/10,3/4,21/20,8/15,7/5,,,,,4/6,23/20,20/21,4/6,8/15,4/6
1743905039.047677,77,20/23,20/23,,,4/5,19/20,4/7,13/10,8/15,13/10,4/5,8/11,,,19/20,5/6,22/25,10/11,4/5,10/11,10/21,17/10,17/20,17/20,4/6,6/5,17/20,17/20,4/6,23/20,4/6,23/20,4/5,10/11,7/10,21/20,8/11,21/20,5/7,11/10,3/4,21/20,8/15,7/5,,,,,4/6,23/20,20/21,4/6,8/15,4/6
1743905071.2632895,78,5/7,11/10,,,4/5,19/20,4/7,13/10,7/10,1,4/5,1,,,4/5,1,10/13,1,8/11,1,10/13,21/20,17/20,17/20,4/5,10/11,17/20,17/20,10/11,17/20,5/6,20/21,8/11,1,3/4,26/25,3/4,1,20/27,21/20,3/4,21/20,3/4,1,,,,,10/11,17/20,5/6,20/21,8/15,4/6
1743905101.6157224,79,5/7,11/10,,,20/23,20/23,4/7,13/10,8/11,19/20,9/10,9/10,,,5/6,19/20,10/13,1,4/6,11/10,5/6,1,17/20,17/20,8/11,11/10,17/20,17/20,10/11,17/20,4/5,1,8/11,1,4/5,19/20,5/6,10/11,20/27,21/20,5/6,19/20,3/4,1,,,,,10/11,17/20,5/6,20/21,8/15,4/6
1743905132.3436275,80,5/7,11/10,,,20/23,20/23,4/7,13/10,8/11,19/20,9/10,9/10,,,5/6,19/20,10/13,1,8/11,1,5/6,1,17/20,17/20,4/5,1,17/20,17/20,4/5,1,4/5,1,8/11,1,4/5,19/20,5/6,5/6,20/27,21/20,5/6,19/20,3/4,1,,,,,4/5,1,5/6,20/21,8/15,4/6
1743905162.877029,81,5/7,11/10,,,20/23,20/23,4/7,13/10,8/11,19/20,9/10,9/10,,,17/20,10/11,41/50,19/20,8/11,1,5/6,1,17/20,17/20,4/5,1,17/20,17/20,4/5,1,4/5,1,8/11,1,4/5,19/20,5/6,5/6,20/23,10/11,5/6,19/20,3/4,1,,,,,4/5,1,5/6,2/11,8/15,4/6
1743905261.8612032,82,5/6,10/11,,,4/6,23/20,13/10,4/7,8/13,23/20,8/11,11/10,,,4/6,23/20,19/20,41/50,1,8/11,20/29,6/5,17/20,17/20,4/5,10/11,17/20,17/20,1,4/5,1,4/5,1,8/11,10/13,19/20,4/5,20/21,10/11,20/23,19/20,17/20,13/20,23/20,,,,,1,4/5,2/11,1/100,4/6,8/15
1743905290.4208174,83,5/6,10/11,,,4/7,13/10,13/10,4/7,8/13,23/20,6/10,13/10,,,3/5,13/10,7/10,11/10,4/6,11/10,20/29,6/5,4/6,21/20,4/6,6/5,17/20,17/20,4/6,23/20,4/6,23/20,4/6,11/10,8/11,26/25,4/6,23/20,5/8,5/4,13/20,6/5,13/20,23/20,,,,,8/13,5/4,4/7,6/5,4/6,8/15
1743905319.261654,84,5/6,10/11,,,4/7,13/10,13/10,4/7,8/13,23/20,6/10,13/10,,,3/5,13/10,7/10,11/10,4/6,11/10,20/29,6/5,4/6,21/20,4/6,6/5,17/20,17/20,4/6,23/20,4/6,23/20,4/6,11/10,8/11,26/25,4/6,23/20,5/8,5/4,13/20,6/5,13/20,23/20,,,,,8/13,5/4,4/7,6/5,4/6,8/15
1743905348.2506862,85,20/29,23/20,,,4/6,23/20,13/10,4/7,19/20,8/11,4/6,23/20,,,2/5,15/8,7/10,11/10,10/11,4/5,1,5/6,4/6,21/20,10/11,4/5,8/13,23/20,8/11,11/10,4/6,23/20,10/11,4/5,1/2,31/20,1/2,6/4,13/10,20/33,2/5,15/8,10/11,4/5,,,,,8/11,11/10,4/7,23/20,4/6,11/8
1743905376.8649693,86,20/29,23/20,,,4/6,23/20,13/10,4/7,19/20,8/11,4/6,23/20,,,2/5,15/8,7/10,11/10,10/11,4/5,1,5/6,4/6,21/20,10/11,4/5,8/13,23/20,8/11,11/10,4/6,23/20,10/11,4/5,1/2,31/20,1/2,6/4,13/10,20/33,2/5,15/8,10/11,4/5,,,,,8/11,11/10,4/7,23/20,4/6,11/8
1743905407.2887402,87,20/29,23/20,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/11,11/10,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/11,11/10,4/7,23/20,4/6,11/8
1743905435.9525402,88,20/29,23/20,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/11,11/10,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/11,11/10,4/7,23/20,4/6,11/8
1743905465.927274,89,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905494.4788451,90,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905523.4736702,91,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905552.4166715,92,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905578.6329458,93
1743905608.020703,94,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905636.5803354,95,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905665.509412,96,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905694.6462944,97,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905724.1464539,98,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905753.1846738,99,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905851.2151225,100,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905877.257807,101
1743905906.4056764,102,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905935.1512134,103,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905964.815707,104,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743905993.8238564,105,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743906022.995022,106,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743906051.940898,107,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743906081.1030178,108,1/2,8/5,,,4/11,2,2/5,7/4,4/9,6/4,4/6,23/20,,,2/5,15/8,1/2,8/5,10/11,4/5,10/21,17/10,4/6,21/20,2/5,17/10,8/13,23/20,8/15,29/20,1/2,6/4,10/11,4/5,1/2,31/20,1/2,6/4,1/2,31/20,2/5,15/8,4/9,13/8,,,,,8/15,29/20,4/7,13/10,4/6,7/5
1743906109.7557151,109
1743906139.860798,110
1743906169.3202276,111
1743906197.7965229,112
1743906223.6869454,113
1743906253.5488958,114
1743906283.1570506,115
1743906312.9720092,116
1743906343.5254595,117
1743906374.1165218,118
1743906477.5019438,119
1743906507.0689878,120
1743906535.9081194,121
1743906564.6553133,122
1743906594.736507,123
1743906624.3001893,124
1743906653.163725,125
1743906682.3007407,126
1743906710.3721673,127
1743906738.272543,128
1743906766.5941696,129
1743906795.0264475,130
1743906823.2461135,131
1743906852.3090887,132
1743906880.4145412,133
1743906909.972769,134
1743906938.6100092,135
1743906967.5495222,136
1743906995.6676874,137
1743907099.4152265,138
1743907130.0005515,139
1743907159.798993,140
1743907185.674774,141
1743907212.6487136,142
1743907241.9228983,143
1743907271.1486516,144
1743907301.05664,145
1743907327.3792667,146
1743907353.3796234,147
1743907382.7591727,148
1743907411.1242547,149
1743907439.9110801,150
1743907468.590578,151
1743907498.5903919,152
1743907527.8704822,153
1743907554.2684157,154
1743907583.237384,155
1743907608.9990153,156
1743907748.6272423,157
1743907777.1689816,158
1743907803.2542853,159
1743907832.7749176,160
1743907864.9893878,161
1743907894.6692681,162
1743907921.1460497,163
1743907950.6470544,164
1743907982.3810513,165
1743908011.0682802,166
1743908039.4707475,167
1743908070.9968855,168
1743908097.2829957,169
1743908126.3799555,170
1743908155.79637,171
1743908182.4592984,172
1743908212.0551543,173
1743908242.711026,174
1743908272.6361592,175
1743908374.4664354,176
1743908400.4771757,177
1743908428.6741226,178
1743908457.216334,179
1743908485.7768795,180
1743908514.5168426,181
1743908544.981567,182
1743908571.3741837,183
1743908601.1378818,184
1743908629.3658018,185
1743908657.4601297,186
1743908688.4528573,187
1743908717.4499872,188
1743908747.85872,189
1743908776.6066945,190
1743908806.051592,191
1743908834.897296,192
1743908864.7344255,193
1743908891.0404088,194
1743908994.1780024,195
1743909024.1118171,196
1743909053.7523646,197
1743909082.7545776,198
1743909108.7011845,199
1743909137.169439,200
1743909166.417349,201
1743909200.9927278,202
1743909231.210264,203
1743909261.4219024,204
1743909290.385704,205
1743909319.0039737,206
1743909348.0718927,207
1743909377.028227,208
1743909405.8208785,209
1743909434.480428,210
1743909464.730734,211
1743909493.8289492,212
1743909522.709115,213
1743909624.5435715,214
1743909650.4988241,215
1743909678.8576148,216
1743909707.5583527,217
1743909735.9505274,218
1743909762.0264077,219
1743909790.1645417,220
1743909819.113857,221
1743909847.9600146,222
1743909876.4387097,223
1743909904.9272957,224
1743909933.063125,225
1743909961.733359,226
1743909990.2967834,227
1743910018.645212,228
1743910047.4684942,229
1743910075.8139753,230
1743910104.568503,231
1743910133.0909348,232
1743910235.2137632,233
1743910261.8867657,234
1743910291.523011,235
1743910320.0653045,236
1743910348.4214282,237
1743910374.280675,238
1743910402.921675,239
1743910437.1340277,240
1743910465.691596,241
1743910493.9535644,242
1743910522.759065,243
1743910551.7702513,244
1743910577.6343806,245
1743910603.4576733,246
1743910631.5477505,247
1743910660.0331721,248
1743910689.5555742,249
1743910717.511563,250
1743910745.5792413,251
1743910847.1713753,252
1743910876.142891,253
1743910905.5658858,254
1743910934.8790174,255
1743910961.2861028,256
1743910989.7383897,257
1743911015.6961746,258
1743911041.4715881,259
1743911069.7228143,260
1743911098.4184184,261
1743911126.1365921,262
1743911154.5460372,263
1743911183.6875038,264
1743911212.842158,265
1743911241.595386,266
1743911270.401464,267
1743911299.037917,268
1743911328.1412902,269
1743911356.707898,270
1743911459.803707,271
1743911489.568883,272
1743911519.1318803,273
1743911547.769421,274
1743911577.7462606,275
1743911606.2577572,276
1743911635.362538,277
1743911664.3369715,278
1743911693.0735397,279
1743911722.6965737,280
1743911748.8900027,281
1743911774.877147,282
1743911803.5058181,283
1743911832.3927965,284
1743911861.7867866,285
1743911890.5334327,286
1743911916.6445243,287
1743911945.994568,288
1743911974.790711,289
1743912077.119633,290
1743912106.4540036,291
1743912134.7879534,292
1743912162.7439153,293
1743912190.987252,294
1743912219.769416,295
1743912249.448253,296
1743912277.9752457,297
1743912307.9180274,298
1743912337.654818,299
